Uranus X	Uranus Y
-2.610621637221058E12	8.186553454541589E11
-2.618033229360053E12	7.940771717432206E11
-2.6252247151179224E12	7.694322458527804E11
-2.632195450961874E12	7.447226314223225E11
-2.638944813914654E12	7.199503989219648E11
-2.6454722016291753E12	6.951176253869839E11
-2.651777032463496E12	6.70226394146912E11
-2.6578587455603975E12	6.452787945523236E11
-2.6637168009265405E12	6.202769217017083E11
-2.6693506795064736E12	5.952228761627482E11
-2.6747598832613057E12	5.701187636837067E11
-2.679943935263244E12	5.4496669490312177E11
-2.684902379798936E12	5.197687850659226E11
-2.689634782469337E12	4.945271537416015E11
-2.694140730287785E12	4.692439245376132E11
-2.698419831784704E12	4.4392122480781244E11
-2.7024717171271743E12	4.1856118536065466E11
-2.706296038254666E12	3.9316594017551306E11
-2.709892469019977E12	3.6773762613255896E11
-2.7132607053219976E12	3.4227838275147125E11
-2.7164004652330713E12	3.1679035193167755E11
-2.719311489131802E12	2.912756776966344E11
-2.721993539843395E12	2.6573650595024127E11
-2.724446402778891E12	2.4017498425083923E11
-2.7266698860604966E12	2.145932616029183E11
-2.728663820622818E12	1.8899348826089398E11
-2.7304280602918447E12	1.6337781553654773E11
-2.7319624818514946E12	1.3774839561082397E11
-2.733266985094702E12	1.1210738135644698E11
-2.734341492845435E12	8.645692616897191E10
-2.7351859509489688E12	6.079918379640491E10
-2.7358003282379785E12	3.513630816348261E10
-2.7361846164769053E12	9.470453191508795E9
-2.736338830282266E12	-1.6196227388358406E10
-2.736263007020862E12	-4.186158023366428E10
-2.735957206694494E12	-6.7523452603310265E10
-2.735421511817225E12	-9.317969258200507E10
-2.734656027286563E12	-1.1882814931404465E11
-2.7336608802467964E12	-1.4446667324521158E11
-2.732436219943009E12	-1.7009311637545044E11
-2.7309822175732896E12	-1.9570533252640927E11
-2.729299066151835E12	-2.2130117762100385E11
-2.727386980386274E12	-2.4687850996638602E11
-2.7252461965621323E12	-2.7243519053479416E11
-2.72287697242606E12	-2.979690832426173E11
-2.7202795870663525E12	-3.234780552322316E11
-2.717454340798481E12	-3.489599771598953E11
-2.7144015550651743E12	-3.744127234877111E11
-2.711121572353721E12	-3.998341727708767E11
-2.7076147561170156E12	-4.25222207932172E11
-2.7038814906838276E12	-4.5057471652936206E11
-2.6999221811641953E12	-4.758895910262127E11
-2.695737253363852E12	-5.011647290669834E11
-2.6913271537104126E12	-5.263980337468324E11
-2.6866923491836978E12	-5.515874138732068E11
-2.681833327241429E12	-5.767307842186864E11
-2.6767505957374106E12	-6.018260657700378E11
-2.6714446828371387E12	-6.268711859772828E11
-2.6659161369358394E12	-6.518640790019609E11
-2.660165526578597E12	-6.768026859611245E11
-2.654193440377781E12	-7.016849551662477E11
-2.6480004869271504E12	-7.26508842359635E11
-2.641587294715151E12	-7.512723109477928E11
-2.63495451203545E12	-7.759733322304213E11
-2.628102806892966E12	-8.006098856263448E11
-2.6210328669063896E12	-8.251799588974175E11
-2.6137453992077466E12	-8.496815483702137E11
-2.606241130339557E12	-8.741126591566536E11
-2.5985208061537188E12	-8.984713053738843E11
-2.590585191711278E12	-9.227555103586183E11
-2.582435071174788E12	-9.469633068729186E11
-2.574071247687868E12	-9.710927373069775E11
-2.5654945432504253E12	-9.951418538869102E11
-2.556705798601112E12	-1.019108718885992E12
-2.5477058731063413E12	-1.0429914048301986E12
-2.5384956446443276E12	-1.0667879946925668E12
-2.529076009475682E12	-1.0904965820802642E12
-2.51944788210333E12	-1.1141152714220896E12
-2.509612195130799E12	-1.1376421781604006E12
-2.4995698991272476E12	-1.1610754289456416E12
-2.489321962498577E12	-1.1844131618249988E12
-2.4788693713528027E12	-1.2076535264193765E12
-2.468213129351946E12	-1.2307946840937432E12
-2.457354257555982E12	-1.253834808128395E12
-2.4462937942667983E12	-1.2767720838925422E12
-2.4350327948753887E12	-1.2996047090173308E12
-2.4235723317108306E12	-1.3223308935643447E12
-2.411913493886032E12	-1.3449488601859456E12
-2.40005738713434E12	-1.3674568442780583E12
-2.3880051336377534E12	-1.3898530941314788E12
-2.3757578718539146E12	-1.4121358710858562E12
-2.363316756347597E12	-1.4343034496825923E12
-2.3506829576210835E12	-1.456354117810254E12
-2.3378576619379546E12	-1.4782861768444243E12
-2.32484207114358E12	-1.5000979417861182E12
-2.3116374024852534E12	-1.5217877413974387E12
-2.298244888430142E12	-1.5433539183319167E12
-2.28466577647808E12	-1.5647948292599663E12
-2.270901328969964E12	-1.5861088449924849E12
-2.256952822895521E12	-1.6072943506046382E12
-2.242821549703752E12	-1.6283497455585684E12
-2.2285088151152456E12	-1.6492734438208108E12
-2.21401593893057E12	-1.6700638739710786E12
-2.1993442548308447E12	-1.6907194793049097E12
-2.1844951101723867E12	-1.7112387179360244E12
-2.169469865782948E12	-1.7316200629018406E12
-2.1542698957637668E12	-1.751862002268602E12
