Charon X	Charon Y
3.4942997030528193E12	-4.1632955629306045E12
3.5100515195236514E12	-4.1549744534323345E12
3.525754827173119E12	-4.14677617202276E12
3.54129384640495E12	-4.138655848938911E12
3.5567117164184756E12	-4.13052371239744E12
3.572050731778347E12	-4.122314213543336E12
3.5874177505383223E12	-4.1139111770283667E12
3.60297373073935E12	-4.1053385523554346E12
3.6184328134023247E12	-4.096907710143498E12
3.633736773618586E12	-4.088535937505915E12
3.6489265208517744E12	-4.080146004048923E12
3.664041795274424E12	-4.071676746168259E12
3.679187631712497E12	-4.063015564468707E12
3.6945181484824126E12	-4.0541900914809463E12
3.709754142755771E12	-4.045503549183781E12
3.7248374601579463E12	-4.0368770339548687E12
3.7398069369367417E12	-4.028236413770646E12
3.7546979048899067E12	-4.019526569038281E12
3.7695927887043066E12	-4.010650658859133E12
3.784669918774785E12	-4.0015708929310977E12
3.799702126194157E12	-3.992606583720084E12
3.814578598142867E12	-3.983721266013877E12
3.8293360404380474E12	-3.974834773422438E12
3.84400603245401E12	-3.9658968815255933E12
3.8586417827115576E12	-3.9568353494424966E12
3.873411706005954E12	-3.947541886957112E12
3.888250744949617E12	-3.9382696607999824E12
3.902937095330106E12	-3.9291140775395986E12
3.9174933602992334E12	-3.919980900068521E12
3.9319509476484854E12	-3.910818207948737E12
3.946343309838935E12	-3.901574922445302E12
3.9607661978139497E12	-3.8921500424846255E12
3.9753638029702725E12	-3.882565419938604E12
3.9898817369806367E12	-3.8731093662936685E12
4.004252775257067E12	-3.8637191386800093E12
4.0185107207996875E12	-3.8543264805181274E12
4.032682557087994E12	-3.844888571480873E12
4.046809074517975E12	-3.835347092218937E12
4.0610256509302417E12	-3.825592215477775E12
4.075367686441619E12	-3.8157835525562456E12
4.089578788307473E12	-3.806105094447593E12
4.1036551990165605E12	-3.796467578920023E12
4.1176275092850054E12	-3.7868172103554443E12
4.1315206795446494E12	-3.7771145724297446E12
4.1453802519205425E12	-3.767297519952095E12
4.159354567765854E12	-3.7572637157456235E12
4.173418164829902E12	-3.747223117401473E12
4.187342680559141E12	-3.737303110065626E12
4.2011383732045493E12	-3.7274166105708096E12
4.2148334770291426E12	-3.7175155439194854E12
4.228451137344798E12	-3.7075633212098765E12
4.2420335859659893E12	-3.6975017383445615E12
4.255720260937682E12	-3.6872296103498223E12
4.269508088394278E12	-3.676933906445106E12
4.2831635366215054E12	-3.6667610622390503E12
4.2966899317059067E12	-3.6566266729284814E12
4.3101149393440244E12	-3.6464826733682207E12
4.3234598752510547E12	-3.636295372696333E12
4.3367574765787324E12	-3.626016856781505E12
4.3501159194588115E12	-3.615549543229494E12
4.3636203596884683E12	-3.6049825303150464E12
4.377023970435091E12	-3.5945428558046484E12
4.390292986301399E12	-3.5841596511121406E12
4.403455767218081E12	-3.5737780940556846E12
4.416533008563628E12	-3.56336561589572E12
4.429548072098629E12	-3.552885688918065E12
4.442563884210947E12	-3.5422647611753975E12
4.455732048818646E12	-3.5314537674149663E12
4.468898738074163E12	-3.520720810772284E12
4.481925701858248E12	-3.510080526566076E12
4.494836629007731E12	-3.4994618712756733E12
4.507654212152316E12	-3.488828129307181E12
4.520396874524289E12	-3.4781500319354346E12
4.533095507972269E12	-3.4673826365992603E12
4.545852941942417E12	-3.4564339964899766E12
4.558752453902735E12	-3.4453866464127056E12
4.571558524804638E12	-3.434462806073522E12
4.584233027231587E12	-3.4235985420771157E12
4.596802422072148E12	-3.412741035526079E12
4.609285691887799E12	-3.4018605989621523E12
4.621700922050728E12	-3.390928294302737E12
4.634086208132097E12	-3.3798924831624478E12
4.646566589851629E12	-3.368663307464706E12
4.659148132719388E12	-3.357403896722803E12
4.671611099994061E12	-3.346264238005519E12
4.683949748581109E12	-3.3351706017105786E12
4.696188564140778E12	-3.3240786781619097E12
4.70834464449223E12	-3.3129618770885938E12
4.7204353779300625E12	-3.3017922830314644E12
4.732499483095948E12	-3.290518255108693E12
4.744662084180161E12	-3.279053634237112E12
4.756918242363622E12	-3.267567798656073E12
4.769056074778779E12	-3.2561995763120166E12
4.781071667079879E12	-3.2448770398694844E12
4.79298859571949E12	-3.2335576225511343E12
4.804823143586145E12	-3.222216121791567E12
4.8165909917463545E12	-3.210827217906265E12
4.828323889787315E12	-3.1993464462915615E12
4.840127924744442E12	-3.187687598613962E12
4.852055402782723E12	-3.1759594395503936E12
4.863885023076903E12	-3.16435138509892E12
4.875589729668055E12	-3.1528005203437915E12
4.887193257934505E12	-3.1412599288800366E12
4.898712212621336E12	-3.1297039537558213E12
