Moon X	Moon Y
1.6958508811314917E11	-3.578901627477759E9
1.423459347838418E11	9.024383534936595E10
6.6054905667317406E10	1.5269219480420355E11
-3.375972551450427E10	1.603677075113062E11
-1.2091019727167314E11	1.0791262235482478E11
-1.6115113167188284E11	1.3326802221297121E10
-1.3794109078563824E11	-8.688387208588887E10
-6.114642271070573E10	-1.5385991032044955E11
3.8640291626903885E10	-1.639198375610811E11
1.2496054143784511E11	-1.1614981568381978E11
1.6896634322160718E11	-2.90993072152116E10
1.5683662253499042E11	6.742225812436157E10
9.232700787512048E10	1.4111456775044876E11
-3.845645432541385E9	1.6586878172676572E11
-9.841883405429118E10	1.3061628030302222E11
-1.5582070389916403E11	4.6055832452503174E10
-1.5312816563394324E11	-5.651000575512683E10
-9.165214406386986E10	-1.378344245525515E11
4.057674092421782E9	-1.6851114608052768E11
9.869473851808408E10	-1.4000665504855795E11
1.6039984193790784E11	-6.450163656139107E10
1.698875603638415E11	3.196570116626422E10
1.242821129888964E11	1.1786595710127206E11
3.760348456774567E10	1.6439511919920187E11
-6.178871101762886E10	1.538926119510476E11
-1.385348095584707E11	8.759466869637732E10
-1.63233678416815E11	-1.1596238828993769E10
-1.2618395806847363E11	-1.0664061337439636E11
-4.228529551261357E10	-1.6263206769439758E11
5.694457189297055E10	-1.613900711664604E11
1.374096337368325E11	-1.059678510210124E11
1.737337338857604E11	-1.629588698501508E10
1.5506478823049503E11	7.852314930512381E10
8.690681406279959E10	1.480944342237701E11
-9.73010295395676E9	1.6858847529560287E11
-1.0269524088638124E11	1.307537961799678E11
-1.5837633454130865E11	4.579686679676118E10
-1.5544312714093576E11	-5.609117557615669E10
-9.527017355022943E10	-1.3754310862585645E11
-9.519436858717912E8	-1.7030956808755835E11
9.405414419889465E10	-1.4548039596043726E11
1.5898607421049762E11	-7.360241415042258E10
1.7435137161066565E11	2.1401201542244617E10
1.3568195607362643E11	1.097949775845103E11
5.4246703182897675E10	1.6344266621438025E11
-4.479154790371741E10	1.63395963242126E11
-1.2820433252456212E11	1.0724990404601888E11
-1.6573396776057254E11	1.2943024196228922E10
-1.432099979145618E11	-8.6035508482182E10
-6.949335609815314E10	-1.5443143602987265E11
2.8292853633052227E10	-1.699428414006931E11
1.1710133419593536E11	-1.2993879815831444E11
1.6948738534042627E11	-4.92020990935131E10
1.7029694263230923E11	4.664608047668629E10
1.1926547405629854E11	1.2834013722774278E11
3.1093585636495506E10	1.7000565062372232E11
-6.706802404410015E10	1.5645345874155908E11
-1.4233621295720743E11	8.98175489973115E10
-1.6759344955345923E11	-8.279872208132879E9
-1.335246257727174E11	-1.0345922967021101E11
-5.308056544915858E10	-1.628376554675828E11
4.515926679724179E10	-1.680997917611418E11
1.2922881519127733E11	-1.2007956007758855E11
1.7406083136539914E11	-3.546137877631534E10
1.67065678011219E11	5.977477994014461E10
1.101347775224415E11	1.3716549616546635E11
1.941033096265481E10	1.7245655828047186E11
-7.750766489986548E10	1.525704257074319E11
-1.485288392022213E11	8.170089565910927E10
-1.684335757294296E11	-1.7345358872976593E10
-1.3005660896301285E11	-1.10495435298058E11
-4.762549515732357E10	-1.6638069032635138E11
5.032836993840252E10	-1.683831871955421E11
1.3277361467258563E11	-1.1836974054289148E11
1.7575339652231482E11	-3.3201577165805283E10
1.6748618568936588E11	6.158476415875252E10
1.1017087466668617E11	1.382582747148881E11
1.9720604918527554E10	1.732665227744821E11
-7.692538457513959E10	1.5387872993889395E11
-1.48442105932741E11	8.401727048397632E10
-1.699535552861659E11	-1.4365198328679743E10
-1.3383710891269572E11	-1.0813048384451353E11
-5.324005539148013E10	-1.66264497988762E11
