Neptune X	Neptune Y
2.44801824075663E12	3.726224339667611E12
2.4315253658761997E12	3.737056174895432E12
2.4149851303397285E12	3.7478152736078423E12
2.398397682104646E12	3.758501402559635E12
2.3817630729211426E12	3.76911460467324E12
2.3650823449317485E12	3.7796555581558467E12
2.3483564273585957E12	3.790123592325931E12
2.331585272540668E12	3.8005180369570435E12
2.3147690157103867E12	3.8108386117499854E12
2.2979078990684585E12	3.82108510286118E12
2.2810021991991772E12	3.8312573050352515E12
2.2640522004123447E12	3.841355010184805E12
2.247058177255276E12	3.851378002785851E12
2.230020367692078E12	3.8613260578079243E12
2.2129389097430396E12	3.871198969864134E12
2.1958139169677961E12	3.8809969109842515E12
2.1786466175435737E12	3.8907204801760195E12
2.1614377045602034E12	3.9003688782716943E12
2.1441871524893467E12	3.9099415504037046E12
2.1268951321346863E12	3.9194382518521963E12
2.109561903840997E12	3.928858788246469E12
2.0921877571858657E12	3.938202971665343E12
2.0747729881130088E12	3.947470611348779E12
