Titan X	Titan Y
1.3079500497240737E12	-6.36333739448034E11
1.3267970123166335E12	-6.102548848547512E11
1.3433179175146821E12	-5.723565763596166E11
1.346848852598928E12	-5.3745383328347095E11
1.3560529200955352E12	-5.122646093826468E11
1.3741950993576523E12	-4.8018105084378815E11
1.3822499402335464E12	-4.398239809881873E11
1.3825816867082183E12	-4.082723368891739E11
1.393073400481879E12	-3.818210858307914E11
1.4072419072136628E12	-3.4524040791486554E11
1.4087368867018467E12	-3.0495492980269696E11
1.4072842611328284E12	-2.750895374481371E11
1.4167901214269185E12	-2.4680566642902005E11
1.4264744944489934E12	-2.0786598833607706E11
1.4233082379910771E12	-1.679524650132702E11
1.4194958589540676E12	-1.384821157583916E11
1.4263628122280718E12	-1.0920923775899779E11
1.4323314966875195E12	-6.955119849721013E10
1.4257342219332256E12	-2.946773438726029E10
1.4184320382413245E12	3.674250313302675E8
1.4214831882568684E12	2.9439088267043213E10
1.4247042039865833E12	6.8439996930743645E10
1.4157490295680962E12	1.0921491236764227E11
1.4040333712454548E12	1.4011841507178943E11
1.4020540368806492E12	1.6808243875528625E11
1.4030204720691216E12	2.0490822556889648E11
1.3930960241138938E12	2.4628739955859302E11
1.3768419799311177E12	2.792071578515042E11
1.3683930120063635E12	3.059781043427138E11
1.3664911147119473E12	3.3900050305496106E11
1.3571355147324004E12	3.796811445151565E11
1.3376843624191704E12	4.155055237910966E11
1.321632134576145E12	4.422847126351962E11
1.3147519991995874E12	4.705369984136809E11
1.3064730792529373E12	5.0777780096364465E11
1.2868540757007512E12	5.461322842428031E11
1.2637440868245273E12	5.75262753873949E11
1.2489206280705251E12	5.997066387123162E11
1.2395549633874707E12	6.304946352653113E11
1.2229156245356995E12	6.682170350847688E11
1.1964488696284163E12	7.015027041961005E11
1.172145775950355E12	7.256508404563864E11
1.1568349478258857E12	7.493831753284714E11
1.142755116955012E12	7.811269993037853E11
1.1188572956819531E12	8.165600577454895E11
1.088105388197731E12	8.446755020146389E11
1.0626134346061815E12	8.651757727674031E11
1.045233392064352E12	8.878750536099957E11
1.0262716557370164E12	9.185724786222198E11
9.969729267048683E11	9.505620014561584E11
9.630212825640345E11	9.741953400398876E11
9.355578649182957E11	9.914107815049333E11
9.15383070920045E11	1.011886972500921E12
8.924899180151768E11	1.0399518664813892E12
8.594541408767662E11	1.0682967121203036E12
8.225907888471504E11	1.088135363022359E12
7.923537591195804E11	1.1018649156040354E12
7.692425649940737E11	1.1187436455301416E12
7.437305276907949E11	1.1429494397108066E12
7.084462406894869E11	1.1677455402194912E12
6.688367272763876E11	1.1844078402188772E12
6.351804295752081E11	1.1944052528596592E12
6.090962789817067E11	1.206449509780562E12
5.821898979053683E11	1.2256281586453135E12
5.462234643829766E11	1.246814694670001E12
5.044114364726955E11	1.260937612839531E12
4.669109593264021E11	1.2673290611274463E12
4.375497231283569E11	1.273689158661784E12
4.099976011724458E11	1.2865551525241443E12
3.750469337224618E11	1.3035290459858035E12
3.323554426349516E11	1.3156606669596497E12
2.910646103864455E11	1.3191986163070654E12
2.5776152475186823E11	1.319766791861975E12
2.2941593511345993E11	1.3250921639583801E12
1.969004804215028E11	1.336429456470708E12
1.5560007978970056E11	1.3465331426502217E12
1.1161030846383163E11	1.3485094899335671E12
7.372160145852785E10	1.344311432615541E12
4.333182921721592E10	1.3415621777230176E12
1.3500810102502825E10	1.3452061179809631E12
-2.3724137380601345E10	1.3519014166432424E12
-6.767335533637111E10	1.353395665485669E12
-1.0979444486821338E11	1.3466596952715774E12
-1.4407839546348105E11	1.3368717431987263E12
-1.729426458622661E11	1.3312038327440503E12
-2.0460768414690164E11	1.3315312608641003E12
-2.4438161319119537E11	1.3319116818119004E12
-2.880814882275259E11	1.3251934411600085E12
-3.271951655507715E11	1.3114001759142263E12
-3.583376438917873E11	1.296925400742735E12
-3.8604018132072705E11	1.2877724202241997E12
-4.1839164429346216E11	1.283598697544389E12
-4.583923873178441E11	1.2774981520118923E12
-5.00211203864082E11	1.2637438622337322E12
-5.3611819853525867E11	1.2440584923649258E12
-5.643758766617937E11	1.225041768104464E12
-5.903743928486537E11	1.2117264478447703E12
