Jupiter X	Jupiter Y
-2.759479448945863E11	7.306505361399497E11
-3.199931100344748E11	7.149319411988756E11
-3.6289574961802325E11	6.966583340335702E11
-4.0451370514945447E11	6.759158653565137E11
-4.4471132070777515E11	6.527978187820181E11
-4.833599357086097E11	6.274041405493522E11
-5.2033800815663605E11	5.99841330409956E11
-5.555319190856609E11	5.702210387683053E11
-5.888348827913884E11	5.3865942285792865E11
-6.201480407238137E11	5.052782904438325E11
-6.493819451006293E11	4.702031422644043E11
-6.76453576215216E11	4.335609119591948E11
-7.012867746031466E11	3.9548275232671716E11
-7.238133216101079E11	3.5610268712903687E11
-7.43972684767387E11	3.155570588743108E11
-7.617119414180803E11	2.7398412340060764E11
-7.7698568010025E11	2.3152370061288422E11
-7.897559174803264E11	1.883169272754865E11
-7.999921884155869E11	1.445060778798675E11
-8.076717936137288E11	1.002341044022032E11
-8.127798952909259E11	5.564409130254324E10
-8.153092468352466E11	1.0877624748826925E10
-8.152576545886659E11	-3.3924146132468117E10
-8.126302264111985E11	-7.861942684106685E10
-8.07439403528674E11	-1.2306726371942848E11
-7.997045461854305E11	-1.6712781823783533E11
-7.89451780639947E11	-2.106624865018823E11
-7.767140909075325E11	-2.5353396051598087E11
-7.615316232593479E11	-2.956067524022403E11
-7.439512141702605E11	-3.367478909972323E11
-7.240260327883552E11	-3.7682668869277106E11
-7.018161552499512E11	-4.157150281106113E11
-6.773877221623618E11	-4.5328858071084924E11
-6.508121648694474E11	-4.894254989969023E11
-6.22167523708922E11	-5.2400665536096735E11
-5.915382042957942E11	-5.569164783921833E11
-5.590147571550819E11	-5.880430134452585E11
-5.2469439770468146E11	-6.172782656884813E11
-4.8868051006083905E11	-6.445195376091421E11
-4.5108166905414215E11	-6.69668999081274E11
-4.12012068575887E11	-6.926335531267858E11
-3.715916850045168E11	-7.133253437126736E11
-3.2994623105297424E11	-7.31662465242184E11
-2.872063998598506E11	-7.475696422195853E11
-2.4350725423348004E11	-7.60977805968231E11
-1.9898872448404904E11	-7.718239528746315E11
-1.537962487730589E11	-7.800520590139723E11
-1.0807969954012901E11	-7.856146784162136E11
-6.199227686065092E10	-7.884722748574501E11
-1.5690805617120895E10	-7.885933471575953E11
3.066456267305602E10	-7.859550031819069E11
7.691079269205498E10	-7.805433371895793E11
1.2288232106301248E11	-7.723537289145397E11
1.6841130846400677E11	-7.613914757522521E11
2.1332887970450232E11	-7.476724993720967E11
2.574656133244494E11	-7.312226550550355E11
3.006516871898186E11	-7.120789348890223E11
3.4271850340253436E11	-6.90289244206737E11
3.8349881736592413E11	-6.659122106776749E11
4.2282741275111914E11	-6.390175986578029E11
4.6054198841567175E11	-6.09686444135141E11
4.964840495167011E11	-5.78011050378168E11
5.304998098718581E11	-5.440948716537469E11
5.624410540697577E11	-5.0805222452959485E11
5.921656217976473E11	-4.700078901663327E11
6.19537587260756E11	-4.3009778027816406E11
6.444303473143268E11	-3.884697927537148E11
6.66728015346687E11	-3.4528025592209595E11
6.863241238690903E11	-3.0069388223254083E11
7.0312286740877E11	-2.5488383233542813E11
7.17040102366016E11	-2.0803090466373978E11
7.280041177711256E11	-1.603226030037308E11
7.359562466885869E11	-1.1195210337643913E11
7.408512210541018E11	-6.3117237948662544E10
7.42657563003938E11	-1.4019844699899998E10
7.413585922140112E11	3.5135262862446625E10
7.369527549705172E11	8.414213329684554E10
7.294533278136603E11	1.3279503547387845E11
7.18887883222983E11	1.808895290341642E11
7.052987210255323E11	2.2822209169249997E11
