Halley's Comet X	Halley's Comet Y
-9.21497976251299E11	2.4043798146337783E12
-9.070472407046056E11	2.3844543119939624E12
-8.925107410188723E11	2.364303352139033E12
-8.778873936556484E11	2.343922327303855E12
-8.631760850880795E11	2.323306445842505E12
-8.483756706834252E11	2.3024507216327896E12
-8.33484973531203E11	2.2813499626619146E12
-8.185027832225461E11	2.2599987587141562E12
-8.034278545864484E11	2.2383914680815454E12
-7.882589063792078E11	2.216522203210955E12
-7.729946199177429E11	2.1943848151763281E12
-7.576336376555714E11	2.1719728768469949E12
-7.421745617042515E11	2.149279664613508E12
-7.266159523023542E11	2.1262981385165886E12
-7.109563262365542E11	2.1030209206055544E12
-6.951941552180854E11	2.0794402713327737E12
-6.793278642155034E11	2.0555480637602168E12
-6.63355829750032E11	2.031335755319534E12
-6.472763781662128E11	2.0067943568364814E12
-6.310877838880549E11	1.9819143984939412E12
-6.147882676625553E11	1.9566858923468406E12
-5.983759948112273E11	1.9310982909243196E12
-5.818490735435043E11	1.9051404414166824E12
-5.652055533700471E11	1.8788005348967673E12
-5.484434236276542E11	1.852066049901559E12
-5.3156061214827924E11	1.82492368953819E12
-5.145549841605846E11	1.7973593111461455E12
-4.974243415434713E11	1.769357847428751E12
-4.801664225544283E11	1.7409032177890952E12
-4.627789021684916E11	1.7119782283561106E12
-4.452593931857298E11	1.6825644588671047E12
-4.276054483204697E11	1.6526421341646838E12
-4.098145636079875E11	1.6221899776094358E12
-3.918841835864301E11	1.5911850432309429E12
-3.738117087819298E11	1.5596025227776484E12
-3.555945061592241E11	1.5274155229111833E12
-3.372299234044064E11	1.494594806650888E12
-3.1871530818916254E11	1.4611084916922805E12
-3.0004803403362836E11	1.4269216963510852E12
-2.8122553499635297E11	1.3919961216071948E12
-2.6224535207403406E11	1.3562895546814705E12
-2.4310519510102576E11	1.3197552752605776E12
-2.238030254904857E11	1.2823413396511772E12
-2.0433716742736346E11	1.2439897105639026E12
-1.8470645811304083E11	1.204635189761559E12
-1.6491045204303165E11	1.164204095871024E12
-1.4494970097537732E11	1.122612608348009E12
-1.2482614132616328E11	1.0797646678836854E12
-1.045436358742035E11	1.0355492782851758E12
-8.410873955223662E10	9.898369864336509E11
-6.3531794202776436E10	9.424752113458855E11
-4.282850989576518E10	8.932819295479907E11
-2.202226310724621E10	8.420369710746144E11
-1.1474322000274277E9	7.884698288204897E11
1.9745714895002136E10	7.322426926241796E11
4.058179643225872E10	6.729287322657072E11
6.122903403575326E10	6.099809368552405E11
8.143904977120287E10	5.426403252329225E11
1.0079865933207115E11	4.697885055503545E11
1.1856956266367241E11	3.8974211867111755E11
1.3322001735412845E11	2.9977157514250433E11
1.4092494862015274E11	1.9494837746883395E11
1.2861836852131096E11	6.560371298847261E10
3.60043102357958E10	-8.021346550367513E10
-1.2207521051781621E11	-1.108427561395818E11
-2.3929608766494922E11	-8.509258537166132E10
-3.3172872257099255E11	-4.921470444028103E10
-4.099595615415028E11	-1.1006264006488377E10
-4.788697404466766E11	2.751506613502732E10
-5.4109114605846027E11	6.567601903743709E10
-5.982176828977354E11	1.0323071173640948E11
-6.512965565704343E11	1.4009521130715927E11
-7.010577873415697E11	1.7625335476898633E11
-7.480335566839777E11	2.11718555298243E11
-7.926255718309142E11	2.4651675899100208E11
-8.351456764830958E11	2.806782548435617E11
-8.758417489050078E11	3.142336167755097E11
-9.149149923820062E11	3.4721197026882764E11
-9.525317548757163E11	3.796407129970664E11
-9.888316233909147E11	4.1154583048279944E11
-1.0239330478612712E12	4.429521052384797E11
-1.0579374432177024E12	4.738830640918938E11
-1.0909323385168622E12	5.043608412689292E11
-1.122993856530598E12	5.344061001960768E11
-1.1541886801218872E12	5.640380405177692E11
-1.1845756167881372E12	5.932744644504326E11
-1.214206849870931E12	6.221318726980365E11
-1.2431289464531743E12	6.506255699028208E11
-1.2713836762277212E12	6.787697687479333E11
-1.2990086827021934E12	7.06577687770827E11
-1.3260380379690112E12	7.340616410458788E11
-1.3525027048210298E12	7.612331193056804E11
-1.3784309245867302E12	7.881028628314316E11
-1.4038485449180056E12	8.146809268640131E11
-1.42877929858798E12	8.409767404020133E11
-1.453245041964491E12	8.669991592164092E11
-1.4772659600108784E12	8.92756513823026E11
-1.500860743262277E12	9.182566530297391E11
-1.5240467411723386E12	9.435069835118254E11
-1.5468400954743982E12	9.685145057474563E11
-1.569255856602914E12	9.932858466031781E11
-1.5913080857007876E12	1.0178272888225245E12
-1.613009944319975E12	1.0421447976299121E12
-1.6343737735927422E12	1.0662440446432444E12
-1.6554111643949976E12	1.0901304292926472E12
-1.676133019811732E12	1.1138090979788154E12
-1.6965496110071006E12	1.1372849612429426E12
-1.7166706273988474E12	1.1605627092311677E12
-1.7365052218560852E12	1.1836468257063975E12
-1.7560620515101543E12	1.2065416008060735E12
-1.77534931469258E12	1.2292511427018848E12
-1.794374784454141E12	1.251779388304026E12
-1.8131458390477246E12	1.2741301131395298E12
-1.8316694896960205E12	1.296306940506123E12
-1.849952405924279E12	1.3183133499784075E12
-1.8680009387050913E12	1.3401526853294775E12
-1.885821141630509E12	1.3618281619185825E12
-1.9034187903058845E12	1.3833428735831487E12
-1.9207994001458691E12	1.4046997990710583E12
-1.9379682427339937E12	1.4259018080527725E12
-1.9549303608802688E12	1.4469516667509373E12
-1.971690582493385E12	1.4678520432119443E12
-1.988253533380472E12	1.488605512240049E12
-2.0046236490776157E12	1.5092145600204185E12
-2.020805185797593E12	1.529681588456625E12
-2.03680223057061E12	1.5500089192415618E12
-2.052618710648671E12	1.5701987976774648E12
-2.0682584022405344E12	1.5902533962613174E12
-2.083724938638006E12	1.6101748180542903E12
-2.0990218177852595E12	1.629965099853731E12
-2.114152409334241E12	1.6496262151829568E12
-2.1291199612238252E12	1.669160077109213E12
-2.1439276058202542E12	1.6885685408961284E12
-2.1585783656591104E12	1.7078534064998079E12
-2.1730751588249797E12	1.7270164209229832E12
-2.1874208039965833E12	1.746059280441533E12
-2.201618025178685E12	1.7649836327128918E12
-2.215669456141014E12	1.7837910787713696E12
-2.229577644585233E12	1.802483174914413E12
-2.243345056062067E12	1.821061434484695E12
-2.2569740776602295E12	1.839527329555053E12
-2.2704670214865796E12	1.857882292525635E12
-2.2838261279513213E12	1.876127717642747E12
-2.2970535688665063E12	1.894264962444675E12
-2.310151450367164E12	1.9122953491342263E12
-2.323121815669536E12	1.9302201658775698E12
-2.3359666476836343E12	1.9480406680351843E12
-2.348687871491628E12	1.9657580793340667E12
