Venus X	Venus Y
2.329980113088986E9	-1.343152469242379E11
1.0148364638757103E11	-8.840858330032791E10
1.3358004623049397E11	1.6143235597916643E10
7.715203077352129E10	1.100941967632012E11
-3.0820996794705215E10	1.3060388805727325E11
-1.1818000076448999E11	6.342616130438373E10
-1.2642760417736694E11	-4.6328826494949776E10
-5.087835681801805E10	-1.2549714477241273E11
5.797102791166887E10	-1.2278921429453026E11
1.2949334475049057E11	-4.080576094390483E10
1.1774970457859409E11	6.753855412908448E10
2.9836358273063366E10	1.3239118798792468E11
-7.769463625964731E10	1.1119415393943752E11
-1.347971082840807E11	1.7450745972228596E10
-1.0472619512847441E11	-8.771423224475739E10
-7.790210576147292E9	-1.3689742254808012E11
9.398854458801393E10	-9.982540379784895E10
1.3693005635567741E11	-3.3368804815610117E8
9.411019105253008E10	9.944255590011333E10
-8.19282837404925E9	1.3672826719425803E11
-1.0567910543362975E11	8.743452791607689E10
-1.3664527544245059E11	-1.7347098833281166E10
-8.217847411078365E10	-1.1145720138931035E11
2.2893567868220417E10	-1.3683051925708675E11
1.1379705240068842E11	-7.882168533142441E10
1.3544539451372668E11	2.6917864981997696E10
7.444778684666528E10	1.1623415990553432E11
-3.253436509325895E10	1.3428577633474236E11
-1.1994985685276445E11	6.946293038280357E10
-1.3408969700547134E11	-3.836802719320665E10
-6.701447258921325E10	-1.2323662985864676E11
3.996383832156509E10	-1.3458356544203319E11
1.2303651724450624E11	-6.654384195893593E10
1.3335304893191135E11	4.044304460096888E10
6.452229817599694E10	1.2328105172524959E11
-4.313982283043761E10	1.324210350945424E11
-1.2543412499337415E11	6.18963577282546E10
-1.3322082213873718E11	-4.611265639865069E10
-6.257396898286818E10	-1.2742658698268408E11
4.4297722181559456E10	-1.35041736280417E11
1.254797651231593E11	-6.5420250980506805E10
1.3458414806206686E11	4.123046767183262E10
6.609604252326347E10	1.2375713093924478E11
-4.0976093845154205E10	1.3415815708353932E11
-1.2454176854549611E11	6.589087033746148E10
-1.3604019602422346E11	-4.134287246490637E10
-6.947133822286583E10	-1.255181295025228E11
3.6393646277038635E10	-1.3921170864572098E11
1.218240283892664E11	-7.557877800462868E10
1.3935222142405997E11	2.9561402013759758E10
7.897972109287102E10	1.1762721001202388E11
-2.5955202565865917E10	1.3892302329877338E11
-1.1634957759227605E11	8.090442373557396E10
-1.41021683786986E11	-2.3658199919648727E10
-8.660368732773033E10	-1.1576186111643094E11
1.5810865500508825E10	-1.4461283043697977E11
1.0974252111121791E11	-9.523429375202806E10
1.4435015639863516E11	5.113136355447456E9
1.0077279164993233E11	1.020712230136238E11
2.24170094923073E9	1.4264205038783957E11
-9.744150110916084E10	1.0404393484861664E11
-1.4330047210023346E11	7.341874757352674E9
-1.1048072232779665E11	-9.417554854541568E10
-1.763156650309777E10	-1.4554498141146875E11
8.497824352245287E10	-1.2001444447229143E11
1.4308568895537024E11	-3.171671245418767E10
1.2610995732974873E11	7.274218968550241E10
4.262173674940135E10	1.3809819659360336E11
-6.332642744795031E10	1.291202693445842E11
-1.3498991517626274E11	5.024971151651227E10
-1.340788475465779E11	-5.616660785366981E10
-6.172783505522319E10	-1.3350770889461284E11
4.338348065736878E10	-1.417306272939618E11
1.2665800927667088E11	-7.731190881838792E10
1.4544046212247736E11	2.6367725538394527E10
8.987949453700034E10	1.1608129989961252E11
-1.1792054139606625E10	1.452349866063742E11
-1.0685078294338867E11	9.819048197724512E10
-1.4561956783656448E11	-6.006105424696476E8
-1.0829653368461205E11	-9.955731258010762E10
-1.487368210419667E10	-1.4794618673208594E11
8.672473040504945E10	-1.219063564986752E11
1.4553403004200714E11	-3.506993564071323E10
1.3218804072113348E11	6.909712570531175E10
5.29910136020932E10	1.383634217394295E11
-5.249823107197085E10	1.3738292447735594E11
-1.3074104696300407E11	6.627487249112007E10
-1.420098686023672E11	-3.874353058246941E10
-8.118274790661418E10	-1.2449500298957117E11
2.0625213833290924E10	-1.485928322370049E11
1.1298592590346948E11	-9.989473339670518E10
