Enceladus X	Enceladus Y
1.0993690425178291E12	-1.6237594027073809E10
1.0889818864904548E12	2.341561124096261E10
1.0771533062326575E12	6.303553550378243E10
1.0638578356044601E12	1.0256730804738568E11
1.0490715468640739E12	1.419530262843811E11
1.0327723133996818E12	1.8113169035645206E11
1.0149400961173884E12	2.2003915494300757E11
9.9555725283194E11	2.5860810184634033E11
9.746088707027164E11	2.967680383109534E11
9.520831220136042E11	3.344453251755983E11
9.279716407319016E11	3.7156323887608954E11
9.022699166025981E11	4.08042072924378E11
8.749777045636816E11	4.4379928492711084E11
8.460994464213617E11	4.7874969397830804E11
8.15644698377497E11	5.128057323879656E11
7.836285569089226E11	5.4587775709192883E11
7.50072076409648E11	5.778744252984023E11
7.150026693743279E11	6.087031367985256E11
6.784544782649844E11	6.382705448964674E11
6.404687081610779E11	6.66483136962418E11
6.010939089778102E11	6.932478828671726E11
5.603861936158463E11	7.184729458711216E11
5.184093777027867E11	7.420684502714957E11
4.7523503018601587E11	7.639472986699233E11
4.309424241624331E11	7.840260261692837E11
3.856183771569338E11	8.022256760093104E11
3.3935697264328986E11	8.184726796426268E11
2.9225915824656024E11	8.326997231984777E11
2.4443222040185648E11	8.448465800704456E11
1.9598913773123816E11	8.54860886875369E11
1.4704781948496674E11	8.626988428266475E11
9.773024189480408E10	8.683258127057605E11
4.816149708929893E10	8.717168130885105E11
-1.53122744798366E9	8.728568674303887E11
-5.1219716488538E10	8.717412196732935E11
-1.0077581754322717E11	8.683753999714579E11
-1.5007252845127032E11	8.627751398288157E11
-1.9898505779807446E11	8.549661377340721E11
-2.473918354954539E11	8.449836843732141E11
-2.9517545142560626E11	8.328721603809288E11
-3.42223503667634E11	8.18684421704194E11
-3.8842934181515405E11	8.024810911652476E11
-4.336926945160266E11	7.843297763214004E11
-4.7792017551994354E11	7.643042346690834E11
-5.2102566599854395E11	7.424835078691945E11
-5.62930574955998E11	7.189510445958706E11
-6.035639836237449E11	6.937938316771151E11
-6.428626810405194E11	6.671015501496495E11
-6.807711004684404E11	6.389657692805093E11
-7.172411684535735E11	6.094791894122623E11
-7.522320796625842E11	5.787349424245347E11
-7.857100107892589E11	5.468259564803109E11
-8.176477851690573E11	5.138443888349767E11
-8.480244991708391E11	4.798811268537577E11
-8.768251222782097E11	4.450253564815333E11
-9.04040081372304E11	4.093641966824042E11
-9.296648377610194E11	3.7298239686405426E11
-9.53699464106252E11	3.359620929839098E11
-9.761482277824906E11	2.983826174063952E11
-9.970191861841665E11	2.6032035786150574E11
-1.0163237971974672E12	2.2184866047159323E11
-1.0340765476656453E12	1.8303777091279883E11
-1.0502946032135952E12	1.439548088907705E11
-1.0649974809155668E12	1.0466377190829573E11
-1.0782067445107953E12	6.522556397641894E10
-1.0899457218981753E12	2.5698044540115776E10
-1.100239245580725E12	-1.3863906396938438E10
-1.1091134162305781E12	-5.340830974693786E10
-1.116595387890618E12	-9.28859978671927E10
-1.1227131731754333E12	-1.3225051719185689E11
-1.12749546802607E12	-1.714580254077015E11
-1.1309714948668074E12	-2.1046718473833157E11
-1.1331708625918894E12	-2.4923905299699634E11
-1.1341234421830137E12	-2.877369739477199E11
-1.1338592570277693E12	-3.259264681410943E11
-1.1324083868067344E12	-3.637751248941967E11
-1.129800883254883E12	-4.0125249597731665E11
-1.1260666965011165E12	-4.3832999200340936E11
-1.1212356115944524E12	-4.749807822006337E11
-1.1153371944389363E12	-5.1117969758623914E11
-1.1084007458698486E12	-5.469031375944893E11
-1.100455262789223E12	-5.821289803810294E11
-1.0915294056199247E12	-6.168364970704625E11
-1.0816514716278274E12	-6.510062701369163E11
-1.070849373650551E12	-6.846201157843107E11
-1.0591506233931045E12	-7.176610100901948E11
-1.0465823186908645E12	-7.501130189589081E11
-1.0331711343368967E12	-7.819612318040822E11
-1.0189433160256943E12	-8.131916988786681E11
-1.0039246770771243E12	-8.437913721334716E11
-9.881405975758691E11	-8.737480494457191E11
-9.716160256601755E11	-9.030503221649579E11
-9.543754807989377E11	-9.316875257553446E11
-9.3644305856894E11	-9.596496931397919E11
-9.178424365324512E11	-9.869275108110306E11
-8.985968813265371E11	-1.0135122778534037E12
-8.787292569831738E11	-1.0393958676159028E12
-8.582620341977583E11	-1.0645706916253455E12
-8.372173001335463E11	-1.0890296655284208E12
-8.156167686335938E11	-1.112766177234637E12
-7.934817910308346E11	-1.135774057318186E12
-7.70833367544051E11	-1.1580475513142993E12
-7.476921589237488E11	-1.1795812936326191E12
-7.240784982559071E11	-1.2003702831883098E12
-7.000124030116781E11	-1.2204098606956519E12
-6.755135872609314E11	-1.2396956874185862E12
-6.50601473921071E11	-1.2582237252994485E12
-6.252952070431528E11	-1.275990218503727E12
