Enceladus X	Enceladus Y
1.4252213175940635E12	-1.3836001882503604E11
1.426307855325057E12	-1.0376920678994417E11
1.4265675765484941E12	-6.913286132002997E10
1.4259928360760566E12	-3.448488563872524E10
1.4245544703819307E12	1.5802803350142142E8
1.4222427902893096E12	3.479471798144086E10
1.419065024317656E12	6.940831361089194E10
1.4150174044501287E12	1.0397200418209895E11
1.4100867005940376E12	1.3847421422842627E11
1.4042798096497217E12	1.7291573619917422E11
1.3976192831115603E12	2.072764093927301E11
1.3901040100221772E12	2.4152447994845737E11
1.3817287700178618E12	2.756476838370003E11
1.3725150370615095E12	3.096312181964087E11
1.3624837714744224E12	3.434387740232522E11
1.351634277255033E12	3.770348879944432E11
1.3399627337103767E12	4.104017596455804E11
1.3274842487852153E12	4.4351941864574585E11
1.314208891903745E12	4.763449923452731E11
1.3001198249111462E12	5.0884410562009204E11
1.28521249757798E12	5.410053351904168E11
1.269502279292881E12	5.72806728111798E11
1.252988474082016E12	6.042158619301946E11
1.2356555811618894E12	6.352155636523987E11
1.2175031965913735E12	6.658030227604554E11
1.1985511582278389E12	6.9596211635582E11
1.1788059818843872E12	7.256631528634274E11
1.158263366153671E12	7.548980988769211E11
1.1369465696083975E12	7.836674679472122E11
1.1148862373988506E12	8.119482529833778E11
1.092091545921853E12	8.397133058667197E11
1.068571496169246E12	8.669500075221444E11
1.0443568313558784E12	8.936450013063367E11
1.019481688156408E12	9.197639902464052E11
9.939539806815045E11	9.452722766418192E11
9.677814105002324E11	9.701586113030881E11
9.409939087679861E11	9.94403009774683E11
9.136077203372773E11	1.0179654362424662E12
8.856189912141201E11	1.0408191971271497E12
8.570358978111434E11	1.0629546914652426E12
8.278832309725602E11	1.0843560448330746E12
7.981732353119734E11	1.1049953602998696E12
7.678986725651321E11	1.1248612986990374E12
7.370733919713281E11	1.1439596949545725E12
7.057294111415514E11	1.1622763526881453E12
6.7387984275212E11	1.1797904130940823E12
6.415353917292921E11	1.196502628419179E12
6.087294779028817E11	1.2124177755149438E12
5.75502394742828E11	1.2275222589664775E12
5.4187454236032117E11	1.241795324835754E12
5.0786262408453033E11	1.2552342655851592E12
4.735112121160157E11	1.2678348100526116E12
4.3886147039038226E11	1.2795679514316926E12
4.0392799393215924E11	1.2904127229464146E12
3.687316727348811E11	1.300366998253276E12
3.3330813420647766E11	1.3094191356223037E12
2.976821611251303E11	1.317541871209063E12
2.618576662467994E11	1.32471812206724E12
