Sun X	Sun Y
-8.93979178546579E7	1.730564206424997E8
-1.1910305356440015E8	1.8384866788887474E8
-1.4957793563079983E8	1.9240648670974365E8
-1.8061807702528197E8	1.9885185871964714E8
-2.1216547946707025E8	2.0335583898159537E8
-2.4450815556209946E8	2.05881066076437E8
-2.776224298818067E8	2.0594855133938935E8
-3.111314344220061E8	2.032003739414792E8
-3.4435590201320165E8	1.975930821980401E8
-3.769430589168606E8	1.8962514191684973E8
-4.08974687727174E8	1.7963973064461142E8
-4.4076025259225917E8	1.6771012828043714E8
-4.7234030006877494E8	1.5341568233928192E8
-5.033411892899874E8	1.3658202551788014E8
-5.333805957344942E8	1.172373351673412E8
-5.622585541188936E8	9.570533728202249E7
-5.900827313162827E8	7.200343998536451E7
-6.16688678541168E8	4.5996082713938825E7
-6.417201167660445E8	1.7582466770596385E7
-6.646705105631015E8	-1.2899508201439539E7
-6.8554752235969E8	-4.494034962362656E7
-7.045954071801739E8	-7.827652621260463E7
-7.221433778584731E8	-1.1311309462032174E8
-7.379061517530515E8	-1.4985694768173015E8
-7.513707569868176E8	-1.8851157958416837E8
-7.620127329422294E8	-2.2870316863417068E8
-7.698309273333111E8	-2.6982456471330315E8
-7.750121206183196E8	-3.116649442376108E8
-7.776737008355695E8	-3.541820678319438E8
-7.77613466892768E8	-3.974273751126718E8
-7.746315627928758E8	-4.410412201608461E8
-7.687893934018223E8	-4.8470972275382084E8
-7.60329712401025E8	-5.2819949747309697E8
-7.493869963896711E8	-5.717338658552054E8
-7.35620745316232E8	-6.153601550649103E8
-7.186486633386753E8	-6.588187282109925E8
-6.982977425443828E8	-7.013980645493855E8
-6.750206264718266E8	-7.425598456033489E8
-6.492996244527539E8	-7.821986928049444E8
-6.214213798083377E8	-8.20590092901012E8
-5.911145764923702E8	-8.57859278251516E8
-5.582147527548695E8	-8.937278219398085E8
-5.2272737372073716E8	-9.277814927386786E8
-4.8504368097992134E8	-9.597527151342825E8
-4.453142191917217E8	-9.897309601566209E8
-4.035167689997173E8	-1.0176348388904135E9
-3.5954944539481443E8	-1.0431903453912122E9
-3.137183562374671E8	-1.0658668833690941E9
-2.6659699724151465E8	-1.0855630397986605E9
-2.1866401361254445E8	-1.1024853812180724E9
-1.699293955929784E8	-1.1171031362921317E9
-1.200621079361286E8	-1.129375536241171E9
-6.894847013432576E7	-1.1389697027970486E9
-1.6848845100390255E7	-1.1453528840386877E9
3.560857151423383E7	-1.1484608900990798E9
8.808714221425669E7	-1.148498278615222E9
1.4046342065370414E8	-1.1457322271045501E9
1.9283359899544784E8	-1.140108096837013E9
