Callisto X	Callisto Y
5.710292699370684E10	-7.789607145720205E11
1.0430547871243352E11	-7.755216302346997E11
1.492566662839649E11	-7.619974665579916E11
1.9535744362592874E11	-7.530234239884885E11
2.3922128157888522E11	-7.339161236288862E11
2.8353379683796783E11	-7.194875910942972E11
3.256262322582071E11	-6.949376842855824E11
3.6746481371181287E11	-6.752216287154108E11
4.071066612199008E11	-6.45458644195104E11
4.4579707051624805E11	-6.207126859495544E11
4.8232802407768616E11	-5.860578425632819E11
5.172232809394526E11	-5.566314092791958E11
5.500149592374487E11	-5.174972301888045E11
5.805075708219331E11	-4.838302413116246E11
6.089774620610409E11	-4.407189932707023E11
6.345138293109667E11	-4.033393844479564E11
6.581414004965139E11	-3.5683844310411053E11
6.782389450495637E11	-3.163553626543595E11
6.965795884825669E11	-2.6712862361820624E11
7.108389956272678E11	-2.2422302343218317E11
7.235371761203779E11	-1.7300090553378174E11
7.316550823730831E11	-1.2841396694990901E11
7.384576016866881E11	-7.59795693785798E10
7.402394748326509E11	-3.0497027153540173E10
7.410035649387316E11	2.2331166275935097E10
7.363694569099628E11	6.789662265915524E10
7.310694593278678E11	1.2028187290256323E11
7.200586942414481E11	1.651087065666677E11
7.087892412622523E11	2.162160666432022E11
6.915628821973778E11	2.5949462464217957E11
6.74536466433974E11	3.0851179236270483E11
6.513714172890035E11	3.494642860874137E11
6.289137772386028E11	3.956195274937127E11
6.00197209079149E11	4.3351739841513727E11
5.727387461990986E11	4.7609823583924524E11
5.389575760491267E11	5.102802418210018E11
5.0701986083050275E11	5.486494823699639E11
4.687455087522554E11	5.785356422143259E11
4.329279985636213E11	6.121425258085757E11
3.908030713668091E11	6.372438931016122E11
3.5176654844284344E11	6.656347378088962E11
3.064868420202258E11	6.855622818392637E11
2.649353090658889E11	7.083858421287327E11
2.172317494444251E11	7.228539538027026E11
1.7389686717597015E11	7.398628815079637E11
1.245208613517949E11	7.486895755800148E11
8.014469048076617E10	7.597416156600511E11
2.985069886167698E10	7.628475467226929E11
-1.4829654277080263E10	7.679006632483407E11
-6.52987594696751E10	7.653038396014113E11
-1.095634519283183E11	7.644106000721312E11
-1.5948708921955765E11	7.562198181775767E11
-2.0264620714036102E11	7.495222720498014E11
-2.5133832610384607E11	7.359305168024615E11
-2.927410079730548E11	7.236496092107117E11
-3.39558464768625E11	7.049242350029084E11
-3.7859981623741486E11	6.873519559117534E11
-4.2294777511319806E11	6.638259429636879E11
-4.5907608600542975E11	6.413177091066766E11
-5.0041502382787354E11	6.13382155493267E11
-5.3313472009192334E11	5.863449607326648E11
-5.709821781477561E11	5.544377202705979E11
