Titan X	Titan Y
1.2539173670198354E12	6.044833372505309E11
1.2348882436779585E12	6.341588602225863E11
1.2168924511596052E12	6.668107375087169E11
1.1992857177267646E12	6.953253805326874E11
1.1773320182052783E12	7.256928264394597E11
1.1588500087962722E12	7.558328419619098E11
1.1366995693029329E12	7.827873238865214E11
1.1140385731273845E12	8.130475056148779E11
1.0932671429218942E12	8.396708835233243E11
1.0675554347749127E12	8.6670215457589E11
1.044897944643392E12	8.948117519875454E11
1.0200418276757408E12	9.188144434133485E11
9.931003714013875E11	9.458941110414136E11
9.691805783019756E11	9.702895320253451E11
9.403766626643429E11	9.935124735917817E11
9.136742531335446E11	1.0188947574674338E12
8.864680774934855E11	1.0397777080817688E12
8.558172993949065E11	1.0629652612981876E12
8.288026680161764E11	1.0847252279644943E12
7.97607448411161E11	1.103826338323837E12
7.671668551925597E11	1.1257718404404565E12
7.379041484270042E11	1.1433930303231821E12
7.042735728408186E11	1.1621038620032551E12
6.742991481220011E11	1.1807603616748901E12
6.41393856550088E11	1.195577988329347E12
6.07706283422105E11	1.2134119464447046E12
5.766363543778076E11	1.2276230546854458E12
5.40867386406283E11	1.2414407094262256E12
5.0818527396430865E11	1.2564903732049924E12
4.741880956175824E11	1.2669897405540688E12
4.379220180004881E11	1.2801221690006877E12
4.052819173025931E11	1.290748500492509E12
3.682672028170004E11	1.2994496093885586E12
3.332693697626088E11	1.3103886606443484E12
2.987106234463402E11	1.3166249350206199E12
2.6068716357161868E11	1.324600044021517E12
2.267387741743005E11	1.3314363657777385E12
1.893563114518207E11	1.3349939523779602E12
1.525836644589054E11	1.3413584836056199E12
1.1790237923175185E11	1.3434363774060037E12
7.905204220524083E10	1.3459757598078337E12
4.411551019034196E10	1.3487971500837314E12
7.168525098138762E9	1.347361426732379E12
-3.06938784932933E10	1.3487699753266106E12
-6.513412809624575E10	1.346808664430556E12
-1.0383131625847064E11	1.3438408391294473E12
-1.393535293775283E11	1.34242442555669E12
-1.7518104843049252E11	1.336285062807958E12
-2.1332352250250058E11	1.33248095441409E12
-2.4720610522060706E11	1.326590953037134E12
-2.8479021921565106E11	1.318260356252763E12
-3.2040067321263727E11	1.3124132607531682E12
-3.545663813700137E11	1.3019507577973066E12
-3.920902339946245E11	1.2928404991977158E12
-4.2511296759689136E11	1.283115028578394E12
-4.6071294943944366E11	1.2697670211847515E12
-4.958178737388317E11	1.2593571911160552E12
-5.2791982024320087E11	1.244992814613784E12
-5.638889597549763E11	1.2306747404310303E12
-5.957351014781837E11	1.2171939473197795E12
-6.286253277679841E11	1.1993374798226045E12
-6.625446126071611E11	1.1843254946957334E12
-6.922999375964679E11	1.1664788368186184E12
-7.258045133592263E11	1.1472551752480625E12
-7.561213444777617E11	1.1300994004324653E12
-7.857570258730852E11	1.1083536119762993E12
-8.177467343103757E11	1.0888235078402217E12
-8.449579893366991E11	1.0678837933957634E12
-8.751816407302555E11	1.0442509942471328E12
-9.035677471567277E11	1.02351964001952E12
-9.295945299196079E11	9.985536964294945E11
-9.588833118450316E11	9.747391209048661E11
-9.834012517528088E11	9.51051944202747E11
-1.0096810110716263E12	9.236683411721034E11
-1.0356824061585645E12	8.995023989282598E11
-1.0579208602008522E12	8.719788581920122E11
-1.0837594686850015E12	8.442787850993265E11
-1.1054491434430278E12	8.181462088671227E11
-1.127317744447166E12	7.877810330033795E11
-1.1504338924738254E12	7.603881331577334E11
-1.1688447628397048E12	7.309186036243989E11
