Charon X	Charon Y
2.840618578629589E12	-4.449788450377473E12
2.8576237751766304E12	-4.443573403460783E12
2.874619440345021E12	-4.437321387689635E12
2.8915594044228477E12	-4.431002061942564E12
2.9084872058512896E12	-4.424648877287495E12
2.9253615086338896E12	-4.418226087517764E12
2.942220965523487E12	-4.411772502372978E12
2.959029184029317E12	-4.405247066278931E12
2.975819827921317E12	-4.39869384477946E12
2.992561544832677E12	-4.3920665828056685E12
3.009282919558969E12	-4.3854144848287876E12
3.0259577230610693E12	-4.378686219999155E12
3.042609384692491E12	-4.3719360011562197E12
3.0592168683032456E12	-4.3651075589055034E12
3.0757983850834644E12	-4.358259970548536E12
3.092338147502374E12	-4.3513321785382944E12
3.1088490997697646E12	-4.344387967770687E12
3.125320744727921E12	-4.3373616556927456E12
3.141760724830481E12	-4.3303215653840273E12
3.158163860952881E12	-4.3231975647581997E12
3.1745324731492334E12	-4.316062333571476E12
3.1908667138252744E12	-4.3088414775274976E12
3.207163574177753E12	-4.3016118399477954E12
3.2234285374402593E12	-4.2942949630052E12
3.23965327369979E12	-4.28697164937872E12
3.2558485821188164E12	-4.2795595872105186E12
3.2720008335944673E12	-4.272143323787941E12
3.2881261141759224E12	-4.264636912982671E12
3.3042055316097383E12	-4.257128421967644E12
3.320260415706943E12	-4.249528499784071E12
3.336266661129851E12	-4.2419284993889824E12
3.3522507843677065E12	-4.2342359035012573E12
3.3681835309566416E12	-4.226545108009394E12
3.384096533167924E12	-4.218760676251368E12
3.399955465093528E12	-4.210979796083864E12
3.4157969902655747E12	-4.203104366183997E12
3.4315818025413823E12	-4.195234107972946E12
3.4473514987861274E12	-4.1872685172884683E12
3.4630618971002793E12	-4.179309583963729E12
3.4787594166377573E12	-4.171254669208365E12
3.494395117198611E12	-4.163207760081965E12
3.5100201163494995E12	-4.1550643570620483E12
3.52558084572694E12	-4.1469301679258413E12
3.541132984925529E12	-4.1386991112712847E12
3.556618479894808E12	-4.1304783345001943E12
3.5720974237211987E12	-4.1221604574026816E12
3.5875074311070674E12	-4.1138537820749336E12
3.602912848338652E12	-4.105449916031449E12
3.618247124859835E12	-4.0970580280564106E12
3.633578688542441E12	-4.0885690026212593E12
3.648837000659668E12	-4.0800925848864204E12
3.664094388191983E12	-4.0715192274383047E12
3.679276511956472E12	-4.0629589599680337E12
3.694459405187923E12	-4.0543020954889443E12
3.7095651260923247E12	-4.0456586556235386E12
3.7246732114321763E12	-4.0369191064989E12
3.7397023242467607E12	-4.0281931690903306E12
3.754735292776426E12	-4.019371754921292E12
3.769687601380353E12	-4.010563992543952E12
3.784645148962281E12	-4.0016615299787456E12
3.7995204661547866E12	-3.992772613153897E12
3.8144022935300596E12	-3.9837899157269277E12
3.829200440820013E12	-3.974820513151098E12
3.844006253695554E12	-3.9657583911310864E12
3.8587270610611655E12	-3.9567091699067173E12
3.873456570173159E12	-3.9475684301407437E12
3.888099875793256E12	-3.9384400559929414E12
3.902752796954046E12	-3.9292215017409243E12
3.917318446912576E12	-3.9200146392198296E12
3.931894501038398E12	-3.910719069975631E12
3.946382349002305E12	-3.9014343826272573E12
3.9608812621315283E12	-3.8920625939180337E12
3.975291169019302E12	-3.882700744432678E12
3.989712672323209E12	-3.873253527599997E12
4.004044505962944E12	-3.8638151779290107E12
4.0183883357605156E12	-3.8542933198871694E12
4.0326419705554526E12	-3.8447791313358906E12
4.046907868341058E12	-3.835183414322168E12
4.061083184941957E12	-3.8255940476236167E12
4.075270897428823E12	-3.8159252489398877E12
4.089367782425913E12	-3.80626136431775E12
4.103477061611936E12	-3.7965202560773657E12
4.117495407242329E12	-3.7867825133015303E12
4.1315260104927437E12	-3.776969862189824E12
4.1454657143689907E12	-3.7671589206302085E12
4.1594174045214663E12	-3.7572754876765396E12
4.1732783693767725E12	-3.747392006369472E12
4.187150914858722E12	-3.737438546740741E12
4.2009330483066875E12	-3.7274831844548154E12
4.2147262232681284E12	-3.717460447270788E12
4.228429437574816E12	-3.707433862588212E12
4.2421430220248223E12	-3.6973425907596772E12
4.2557672338867607E12	-3.68724544215635E12
4.269401013835473E12	-3.6770863722471084E12
4.2829461441674478E12	-3.666919318179455E12
4.2964999117665625E12	-3.656693180290293E12
4.309965885489332E12	-3.6464568792832964E12
4.323439439171099E12	-3.636164396947952E12
4.3368261850024805E12	-3.625859507690738E12
4.3502193296144106E12	-3.6155013977916816E12
4.363526779859593E12	-3.6051285792221387E12
4.3768393267882485E12	-3.5947055519225986E12
4.3900674171329814E12	-3.584265463308415E12
4.403299184424536E12	-3.573778221996369E12
4.416447853725653E12	-3.563271523013026E12
4.429598666195119E12	-3.552720764252116E12
4.442667856271845E12	-3.5421481150516436E12
4.455737545603476E12	-3.5315345285506455E12
4.468727201033941E12	-3.520896589813767E12
4.48171560586698E12	-3.51022085840456E12
4.494625673781075E12	-3.4995182913876587E12
4.507532639792017E12	-3.4887810910080146E12
4.520363069669559E12	-3.478014557579789E12
4.533188449641649E12	-3.467216557264895E12
4.545939193106735E12	-3.456386719934046E12
4.5586828469951E12	-3.4455285818101665E12
