Europa X	Europa Y
3.9139217843595056E11	6.38320243885763E11
3.4951982240004E11	6.647894935827317E11
3.07762381318048E11	6.877546570047827E11
2.6356158020971964E11	7.067392938525376E11
2.174627048768558E11	7.243819795710294E11
1.7215079836134604E11	7.395788059084744E11
1.26112487697599E11	7.501599144194677E11
7.794477263584361E10	7.583496456947504E11
3.0458349851828213E10	7.650440470575526E11
-1.6062849708087317E10	7.673922385604917E11
-6.422733931418569E10	7.662870402190131E11
-1.1212813844971028E11	7.640419917401399E11
-1.579617938579448E11	7.584170358091835E11
-2.0421267460264813E11	7.485532057790105E11
-2.507873988248971E11	7.373636288912283E11
-2.947357529155586E11	7.240280916846641E11
-3.376937171818632E11	7.06322681109696E11
-3.810712477648542E11	6.866524407060374E11
-4.221091494412269E11	6.659620750877046E11
-4.606086430790716E11	6.415514301523457E11
-4.9910726116204395E11	6.142994650198524E11
-5.360427586929165E11	5.866089389807599E11
-5.69467234847786E11	5.566167640401107E11
-6.016890923538303E11	5.2318901108153595E11
-6.331613898951886E11	4.8912273528512775E11
-6.61047647657155E11	4.5434186207661835E11
-6.862805543725939E11	4.163181348434755E11
-7.110295894176415E11	3.770867633999942E11
-7.327045432487223E11	3.3821041279943427E11
-7.506823245095585E11	2.9705409134555066E11
-7.677381020933181E11	2.54043396452081E11
-7.826602763471552E11	2.1195526801778635E11
-7.932654726955272E11	1.6891568567195786E11
-8.021749115574818E11	1.2376713295130658E11
-8.09708531967844E11	7.947716518030188E10
-8.131049421923478E11	3.5719473327788216E10
-8.136358853991036E11	-9.880489457159943E9
-8.132768328613093E11	-5.52086163992222E10
-8.096679087325024E11	-9.880880209517155E10
-8.021590723215026E11	-1.431555052329524E11
-7.934879497373635E11	-1.8804109822815616E11
-7.828957180488245E11	-2.307525353208478E11
-7.681233074907133E11	-2.7256819909410248E11
-7.512687773151981E11	-3.152596174679435E11
-7.33570593373459E11	-3.560051411784066E11
-7.121552177383793E11	-3.945133521264452E11
-6.878522201698832E11	-4.334141626568626E11
-6.63134935885839E11	-4.709964558638003E11
-6.357587317561752E11	-5.053568154426637E11
-6.04900397378153E11	-5.3921326810906165E11
-5.736506426432039E11	-5.722663950059756E11
-5.408984893257587E11	-6.017359230976188E11
-5.046344476921353E11	-6.294475894510935E11
-4.6748766877331323E11	-6.567059688695609E11
-4.3006047237664844E11	-6.806098674096326E11
-3.8973863029544006E11	-7.013995281057638E11
-3.477043829565447E11	-7.215351976976887E11
-3.062085488186063E11	-7.391802063937042E11
-2.6319827133912607E11	-7.527579962056703E11
-2.1785481184801376E11	-7.646196801972233E11
-1.730059312100049E11	-7.75090570687029E11
-1.2834317635382402E11	-7.812925814672546E11
-8.147802550509866E10	-7.84582852799458E11
-3.4680960157055214E10	-7.868666903705026E11
1.0688879811008913E10	-7.854627725100813E11
5.742450934884465E10	-7.80129444082965E11
1.0453034010862599E11	-7.737433049946671E11
1.4940283800532733E11	-7.644353337861475E11
1.9453260683647836E11	-7.506960425087532E11
2.4019299487573553E11	-7.355231225560814E11
2.832715744864232E11	-7.183054698069044E11
3.2522833642631903E11	-6.966310161151912E11
3.6765955040724646E11	-6.728069863575194E11
4.076053215498461E11	-6.47914032010913E11
4.4503749083250867E11	-6.189827821550125E11
4.824054623890873E11	-5.872623767210194E11
5.1785975156293884E11	-5.549312485878461E11
5.496380662888056E11	-5.199332947960746E11
5.801406098988816E11	-4.8144608599349536E11
6.094775501774105E11	-4.422811290783457E11
6.347950053836996E11	-4.021201527810441E11
6.572977820920958E11	-3.5856824797555084E11
6.788488097958522E11	-3.138967460651658E11
6.967469480356825E11	-2.6948840046180743E11
7.105728967775739E11	-2.225816963543767E11
7.232171704104729E11	-1.741682004615298E11
7.327062452786913E11	-1.268953387742043E11
7.374653315902302E11	-7.820925874095866E10
7.405655456732896E11	-2.8044618785195423E10
7.411201501937986E11	2.0534564283443836E10
7.367159379454276E11	6.908050753872972E10
7.299553595341361E11	1.1901768174856439E11
7.213859047144178E11	1.671546759446158E11
7.080030361462078E11	2.1384612649561676E11
6.918171986103597E11	2.6162737952903937E11
6.743212102705642E11	3.071957614783725E11
6.522328395511666E11	3.5050038702469495E11
6.275345104179993E11	3.944355922313115E11
