Deimos X	Deimos Y
-3.0045274093179565E12	2.0375096592909973E13
-3.049867630613539E12	2.0711775551488598E13
-3.0952073147009717E12	2.1048450861901277E13
-3.140546479295975E12	2.1385122639622312E13
-3.18588514125337E12	2.172179099472801E13
-3.2312233166218994E12	2.205845603222803E13
-3.276561020694748E12	2.2395117852371812E13
-3.3218982680561772E12	2.2731776550931746E13
-3.3672350726246123E12	2.30684322194661E13
-3.412571447692497E12	2.3405084945562664E13
-3.4579074059632314E12	2.3741734813065074E13
-3.5032429595854546E12	2.407838190228306E13
-3.54857812018482E12	2.441502629018863E13
-3.5939128988935625E12	2.4751668050598125E13
-3.6392473063779736E12	2.5088307254342918E13
-3.684581352864058E12	2.5424943969427543E13
-3.7299150481613833E12	2.57615782611789E13
-3.7752484016853765E12	2.6098210192384336E13
-3.820581422478144E12	2.6434839823422082E13
-3.8659141192279136E12	2.677146721238273E13
-3.911246500287275E12	2.7108092415183367E13
-3.9565785736902144E12	2.744471548567481E13
-4.001910347168106E12	2.778133647574197E13
-4.0472418281647256E12	2.811795543539851E13
-4.0925730238503047E12	2.845457241287574E13
-4.137903941134788E12	2.8791187454706496E13
-4.1832345866802705E12	2.912780060580365E13
-4.228564966912667E12	2.9464411909534605E13
-4.273895088032788E12	2.9801021407791465E13
-4.319224956026724E12	3.013762914105716E13
-4.364554576675594E12	3.0474235148467906E13
-4.409883955564862E12	3.0810839467872305E13
-4.455213098093021E12	3.11474421358871E13
-4.500542009479824E12	3.148404318795043E13
-4.545870694774164E12	3.1820642658371555E13
-4.591199158861327E12	3.2157240580378363E13
-4.63652740647012E12	3.2493836986162426E13
-4.681855442179368E12	3.2830431906921543E13
-4.727183270424262E12	3.3167025372900367E13
-4.772510895502268E12	3.350361741342874E13
-4.817838321578758E12	3.3840208056958254E13
-4.863165552692394E12	3.4176797331097062E13
-4.9084925927602295E12	3.4513385262642598E13
-4.953819445582482E12	3.4849971877613496E13
-4.999146114847197E12	3.518655720127905E13
-5.044472604134553E12	3.552314125818798E13
-5.089798916921086E12	3.5859724072195164E13
-5.135125056583619E12	3.6196305666488266E13
-5.180451026403051E12	3.653288606361204E13
-5.225776829567912E12	3.686946528549135E13
-5.271102469177866E12	3.720604335345463E13
-5.316427948246954E12	3.754262028825449E13
-5.361753269706663E12	3.787919611008906E13
-5.407078436408986E12	3.8215770838620805E13
-5.452403451129256E12	3.85523444929957E13
-5.497728316568828E12	3.888891709186128E13
-5.543053035357701E12	3.922548865338348E13
-5.588377610057048E12	3.9562059195263414E13
-5.633702043161524E12	3.9898628734752664E13
-5.679026337101622E12	4.023519728866884E13
-5.724350494245773E12	4.057176487340961E13
-5.769674516902524E12	4.0908331504967E13
-5.814998407322466E12	4.124489719894014E13
-5.860322167700197E12	4.15814619705486E13
-5.905645800176158E12	4.191802583464418E13
-5.950969306838393E12	4.22545888057229E13
-5.99629268972423E12	4.259115089793591E13
-6.041615950821939E12	4.292771212510087E13
-6.086939092072274E12	4.326427250071212E13
-6.132262115369983E12	4.360083203795047E13
-6.177585022565244E12	4.393739074969327E13
-6.222907815465048E12	4.427394864852317E13
-6.268230495834526E12	4.461050574673733E13
-6.313553065398282E12	4.494706205635625E13
-6.35887552584153E12	4.528361758913128E13
-6.404197878811367E12	4.562017235655324E13
-6.44952012591788E12	4.5956726369859836E13
-6.49484226873524E12	4.629327964004294E13
-6.540164308802786E12	4.662983217785608E13
-6.585486247626002E12	4.696638399382087E13
-6.630808086677564E12	4.730293509823366E13
-6.676129827398224E12	4.7639485501172305E13
-6.721451471197803E12	4.79760352125019E13
-6.766773019455953E12	4.831258424188075E13
-6.812094473523138E12	4.8649132598766555E13
-6.8574158347213545E12	4.898568029242115E13
-6.902737104345001E12	4.932222733191656E13
-6.948058283661569E12	4.965877372614004E13
-6.993379373912466E12	4.999531948379865E13
-7.03870037631364E12	5.033186461342471E13
-7.084021292056336E12	5.066840912337983E13
-7.129342122307723E12	5.100495302185988E13
-7.174662868211581E12	5.134149631689926E13
-7.219983530888872E12	5.167803901637467E13
-7.26530411143835E12	5.201458112801012E13
-7.310624610937218E12	5.235112265937986E13
-7.355945030441562E12	5.268766361791268E13
-7.401265370986995E12	5.302420401089596E13
