Io X	Io Y
3.2022625364198777E13	4.315509636019844E13
3.2201120042339473E13	4.3393141601005305E13
3.237961436909503E13	4.363118636829689E13
3.2558108348290516E13	4.386923066725432E13
3.273660198368882E13	4.410727450297423E13
3.2915095278992023E13	4.434531788047048E13
3.3093588237842676E13	4.458336080467576E13
3.3272080863825367E13	4.482140328044378E13
3.345057316046731E13	4.505944531255064E13
3.362906513124024E13	4.529748690569658E13
3.3807556779561188E13	4.553552806450724E13
3.398604810879372E13	4.577356879353576E13
3.416453912224896E13	4.601160909726418E13
3.4343029823186836E13	4.624964898010435E13
3.4521520214816996E13	4.648768844640023E13
3.4700010300299996E13	4.672572750042871E13
3.4878500082748125E13	4.696376614640116E13
3.5056989565226402E13	4.720180438846474E13
3.523547875075367E13	4.743984223070378E13
3.541396764230316E13	4.767787967714088E13
3.5592456242804055E13	4.791591673173827E13
3.577094455514179E13	4.8153953398398805E13
3.594943258215899E13	4.839198968096765E13
3.61279203266567E13	4.863002558323265E13
3.630640779139448E13	4.886806110892644E13
3.648489497909203E13	4.910609626172638E13
3.666338189242964E13	4.934413104525673E13
3.684186853404849E13	4.9582165463088805E13
3.702035490655204E13	4.982019951874261E13
3.7198841012506625E13	5.005823321568731E13
3.737732685444168E13	5.029626655734265E13
3.755581243485122E13	5.053429954707961E13
3.77342977561937E13	5.077233218822152E13
3.79127828208935E13	5.1010364484044664E13
3.809126763134065E13	5.124839643777979E13
3.826975218989254E13	5.148642805261184E13
3.844823649887321E13	5.172445933168205E13
3.862672056057518E13	5.196249027808788E13
3.880520437725937E13	5.220052089488427E13
3.898368795115578E13	5.243855118508424E13
3.9162171284464414E13	5.267658115165959E13
3.934065437935521E13	5.291461079754199E13
3.951913723796877E13	5.315264012562291E13
3.969761986241728E13	5.339066913875553E13
3.987610225478453E13	5.362869783975432E13
4.005458441712688E13	5.3866726231396445E13
4.023306635147294E13	5.410475431642209E13
4.041154805982533E13	5.434278209753493E13
4.059002954415983E13	5.4580809577403414E13
4.076851080642674E13	5.4818836758661086E13
4.094699184855069E13	5.505686364390641E13
4.11254726724318E13	5.5294890235704945E13
4.130395327994526E13	5.5532916536588266E13
4.148243367294259E13	5.577094254905595E13
4.166091385325128E13	5.60089682755751E13
4.183939382267597E13	5.624699371858151E13
4.2017873582998016E13	5.648501888047989E13
4.219635313597662E13	5.6723043763644586E13
4.2374832483348555E13	5.696106837041967E13
4.2553311626829016E13	5.71990927031202E13
4.2731790568112086E13	5.743711676403176E13
4.291026930887042E13	5.767514055541186E13
4.3088747850756195E13	5.791316407948998E13
4.326722619540128E13	5.815118733846773E13
4.344570434441748E13	5.838921033452016E13
4.362418229939674E13	5.862723306979502E13
4.380266006191185E13	5.88652555464142E13
4.398113763351661E13	5.9103277766474055E13
4.4159615015745945E13	5.9341299732045016E13
4.433809221011646E13	5.9579321445173016E13
4.451656921812646E13	5.981734290787898E13
4.4695046041256516E13	6.005536412216002E13
4.487352268096961E13	6.0293385089989266E13
4.505199913871139E13	6.05314058133165E13
4.523047541591055E13	6.0769426294068484E13
4.54089515139787E13	6.100744653414908E13
4.558742743431143E13	6.1245466535440016E13
4.576590317828776E13	6.148348629980117E13
4.594437874727098E13	6.172150582907055E13
4.6122854142608375E13	6.195952512506492E13
4.630132936563214E13	6.2197544189579984E13
4.647980441765837E13	6.243556302439096E13
4.6658279299989E13	6.267358163125268E13
4.683675401391063E13	6.2911600011899734E13
4.70152285606956E13	6.314961816804731E13
4.7193702941601805E13	6.338763610139086E13
4.7372177157873164E13	6.362565381360702E13
4.755065121073889E13	6.386367130635311E13
4.77291251014152E13	6.410168858126844E13
4.7907598831104695E13	6.433970563997358E13
4.808607240099664E13	6.457772248407131E13
4.826454581226708E13	6.481573911514663E13
4.844301906607896E13	6.5053755534767E13
4.862149216358304E13	6.52917717444826E13
4.879996510591656E13	6.5529787745826766E13
4.8978437894205375E13	6.576780354031588E13
4.915691052956268E13	6.6005819129449914E13
4.933538301308957E13	6.624383451471271E13
4.951385534587542E13	6.648184969757195E13
4.969232752899794E13	6.671986467947957E13
4.987079956352328E13	6.6957879461871914E13
5.004927145050621E13	6.719589404616991E13
5.022774319099041E13	6.743390843377949E13
5.040621478600839E13	6.767192262609173E13
5.0584686236581945E13	6.790993662448273E13
5.0763157543722E13	6.814795043031436E13
5.094162870842893E13	6.838596404493408E13
5.1120099731693055E13	6.862397746967525E13
5.129857061449335E13	6.8861990705857195E13
5.1477041357799766E13	6.910000375478595E13
5.1655511962571805E13	6.933801661775362E13
5.18339824297591E13	6.95760292960391E13
