Ganymede X	Ganymede Y
-8.115915138197256E11	-9.67780759886022E10
-8.049402950505132E11	-1.41681237774221E11
-7.954362738036309E11	-1.8573484558996213E11
-7.834639878000088E11	-2.2866418331274176E11
-7.694432306630208E11	-2.7048826403405704E11
-7.535939545000001E11	-3.114818430151784E11
-7.357879622452292E11	-3.51955615085343E11
-7.156070914549965E11	-3.9197233074213477E11
-6.92616834460349E11	-4.3117290261142706E11
-6.667156970083612E11	-4.688692426453224E11
-6.383244990097568E11	-5.0440619915779834E11
-6.08205953529084E11	-5.375980204803007E11
-5.769451798043611E11	-5.688653718786544E11
-5.444881750502287E11	-5.988576625924655E11
-5.1018995722799426E11	-6.278058499726505E11
-4.734148797097997E11	-6.551610082424918E11
-4.3424172731482135E11	-6.799046621047706E11
-3.9360911745710077E11	-7.013996418604087E11
-3.5257841644768066E11	-7.200269164382094E11
-3.11318845863321E11	-7.368083033384812E11
-2.6896332182267957E11	-7.52246904999871E11
-2.2463263116602008E11	-7.656153718205956E11
-1.7863375751899976E11	-7.755801617266089E11
-1.3242062228267542E11	-7.816982445274254E11
-8.704737987820348E10	-7.850385099357451E11
-4.192774245157715E10	-7.868621673331342E11
4.316963993839234E9	-7.868911958334841E11
5.1813137353511185E10	-7.834980222681105E11
9.886902723790332E10	-7.758639103836888E11
1.4406161015034897E11	-7.65292636909713E11
1.8819618355953625E11	-7.534000095599111E11
2.3296654915040186E11	-7.396338430274186E11
2.780527296584253E11	-7.219907555103997E11
3.211563369047466E11	-7.002530320312369E11
3.6147583667392773E11	-6.766100235791926E11
4.0093006065835065E11	-6.521021681667802E11
4.406471332867061E11	-6.247974288879387E11
4.785201480890545E11	-5.932136286651338E11
5.1260863294251984E11	-5.59342248757769E11
5.4460998640662335E11	-5.252363659441526E11
5.764609771239407E11	-4.891930796423517E11
6.061553800976356E11	-4.491464752915757E11
6.313094477223213E11	-4.072117081206781E11
6.53919693722957E11	-3.6577972599445465E11
6.760614461667229E11	-3.2271376846165643E11
6.950717877665842E11	-2.7610881415708984E11
7.09017148809551E11	-2.290086902365322E11
7.20982759568719E11	-1.8309346427561395E11
7.319468148271221E11	-1.3511018220309795E11
7.381525228833728E11	-8.481829624081787E10
7.398979189199717E11	-3.6237512004148705E10
7.409018954382794E11	1.1620802194641525E10
7.390244423816624E11	6.199341284857008E10
7.314552889115466E11	1.1159691598851102E11
7.220729202884125E11	1.5839467072101956E11
7.114659975888821E11	2.0652177474343112E11
6.952855141775083E11	2.5479751031145834E11
6.761715793474673E11	2.9919903546381433E11
6.56819184137169E11	3.4345384764234357E11
6.32547349360084E11	3.881971206059608E11
6.048143721711819E11	4.2849016503487805E11
5.774632720289114E11	4.675739365396574E11
5.457362116023453E11	5.0700401586685895E11
5.1073693919618115E11	5.414343262026193E11
4.766525678707465E11	5.7429163972903E11
4.383444784416224E11	6.069756785741218E11
3.977171415703168E11	6.340342029942778E11
3.583570803995696E11	6.599464601674045E11
3.1460413267982874E11	6.846116936254648E11
2.7033990067027475E11	7.033120924225569E11
2.2698247550576154E11	7.218921440654277E11
1.7936150830545715E11	7.372830946910726E11
1.3360989298756856E11	7.475357311943949E11
8.710666894265858E10	7.583161879716083E11
3.8039247194065285E10	7.634881101613358E11
-7.690640988244558E9	7.662201171096868E11
-5.638555112233348E10	7.679537646518479E11
-1.037479890635344E11	7.633933012528287E11
-1.4951650207571268E11	7.593854445774001E11
-1.9773821404205258E11	7.505103713900388E11
-2.4156340577870538E11	7.388568319311055E11
-2.875981721552596E11	7.265549685831915E11
-3.310274344638961E11	7.082563397414264E11
-3.729316355623131E11	6.911579676746456E11
-4.156128912032225E11	6.684755833788093E11
-4.5351612380358276E11	6.45287453132559E11
-4.936508033918385E11	6.196087796612278E11
-5.284792956737706E11	5.904501976657129E11
-5.643281503696547E11	5.618850183858444E11
-5.965342927398514E11	5.279342404483456E11
-6.272014001033468E11	4.9605910014091895E11
-6.564883880089377E11	4.586812531192184E11
-6.81812993226378E11	4.2326672307598267E11
-7.074842010329156E11	3.835056551093734E11
-7.276140561948723E11	3.447661309013676E11
-7.489715182970052E11	3.032887775996784E11
-7.640497516645096E11	2.6179066664596713E11
-7.805974050182031E11	2.1903469260555746E11
-7.906553325328394E11	1.7551945423393024E11
-8.021275309884766E11	1.3183964316951257E11
-8.07106793564392E11	8.710014376716104E10
-8.134139571578066E11	4.28422164580971E10
-8.132342962690414E11	-2.3261081875520387E9
-8.143874102739646E11	-4.681335272935295E10
-8.090214958558633E11	-9.161657090598193E10
