Titan X	Titan Y
-1.0747194400713843E12	-1.0075625275482776E12
-1.0510065434512229E12	-1.0342915318817942E12
-1.030464072560421E12	-1.0586055478390205E12
-1.005419829598458E12	-1.081438575836853E12
-9.817924272623777E11	-1.1069016616369001E12
-9.587653204496991E11	-1.1281401516193562E12
-9.316398186790259E11	-1.1507468036179321E12
-9.08068150384245E11	-1.1735429686762012E12
-8.818620037887125E11	-1.192647321456003E12
-8.541926371024706E11	-1.2147533834705652E12
-8.296229905281895E11	-1.2340866210573948E12
-8.005863493460032E11	-1.2521609867589624E12
-7.733775075164448E11	-1.2726200377764297E12
-7.46562590397465E11	-1.2887299739448352E12
-7.159376162524801E11	-1.3063650405600776E12
-6.890534562147233E11	-1.3238431469681365E12
-6.594120261902904E11	-1.3377230689547947E12
-6.28710498035153E11	-1.3545790303950146E12
-6.010697574502156E11	-1.3684002184099888E12
-5.690444188704817E11	-1.3811375118753743E12
-5.391841980756456E11	-1.3960613472013813E12
-5.0959718991172974E11	-1.4065615779231147E12
-4.764659263625344E11	-1.418697131324173E12
-4.472356830140085E11	-1.430421988132828E12
-4.1520800515392365E11	-1.438629290681335E12
-3.8245186715093115E11	-1.4497851454297136E12
-3.527611161177204E11	-1.4577318121425046E12
-3.187977582694938E11	-1.4647197238658237E12
-2.872679475249739E11	-1.4737547708211992E12
-2.5597635238571753E11	-1.4783284052727434E12
-2.2136946974965805E11	-1.4846076007473342E12
-1.908078294988074E11	-1.4903169898462021E12
-1.5748099442825995E11	-1.4925673693018145E12
-1.2368078118574687E11	-1.497747417851543E12
-9.300114612130176E10	-1.4996244756532095E12
-5.817729772050866E10	-1.5006169795444456E12
-2.5990046109230602E10	-1.5035831611267148E12
5.909758140320868E9	-1.502077711488549E12
4.0942255971178764E10	-1.5023130086037378E12
7.179495456158575E10	-1.501914460119252E12
1.053157876177232E11	-1.4980880178775195E12
1.3913473945732416E11	-1.4971872340230527E12
1.6972441355519022E11	-1.492965812931894E12
2.0432181317880676E11	-1.4878828268071191E12
2.3614371136602298E11	-1.4847695646720527E12
2.6754686780354733E11	-1.4771973928963516E12
3.019519026597305E11	-1.4713685807858713E12
3.320507043249269E11	-1.4649368457303535E12
3.646602562228748E11	-1.45507892489595E12
3.974747957006981E11	-1.448159628101828E12
4.2689877444737897E11	-1.4379767604291157E12
4.601894306080326E11	-1.426904207542751E12
4.9063147549974274E11	-1.417867190637921E12
5.2044391996685913E11	-1.4044067639623662E12
5.53180894918075E11	-1.3926595665390625E12
5.814967563745148E11	-1.3804350487370225E12
6.121070198771724E11	-1.3647578505122278E12
6.429130179663196E11	-1.352047164684725E12
6.701193746320145E11	-1.3362063872367998E12
7.010457407968801E11	-1.3193970639545674E12
7.291209241844344E11	-1.3047558671066897E12
7.562790673497029E11	-1.2857538353084946E12
7.863359911453036E11	-1.2683993620150872E12
8.118770105716072E11	-1.250787263368284E12
8.394356436449698E11	-1.229672228895325E12
8.672657777406538E11	-1.2115603063702139E12
8.912483875701625E11	-1.19053276730206E12
9.187932862248574E11	-1.1684079434107725E12
9.435626101427638E11	-1.1486440966695552E12
9.67054978487224E11	-1.1246177222495288E12
9.934664415639463E11	-1.1021325467115857E12
1.0153009787142871E12	-1.0797019973023972E12
1.0388122400985507E12	-1.0537024415963708E12
1.0627558067685585E12	-1.0307409538649681E12
1.0825790001238079E12	-1.0051661023206915E12
1.1057861895004744E12	-9.783172617274999E11
1.12638148812605E12	-9.540718914884719E11
1.145273772238851E12	-9.257108178202994E11
1.167141996161051E12	-8.987369440972114E11
1.1844247071206648E12	-8.722188731791196E11
1.2029743472982952E12	-8.420617804449246E11
1.222200068868378E12	-8.149616716317456E11
1.2370270729741697E12	-7.856460287831791E11
1.2550260338480505E12	-7.548355599753805E11
1.270675853243658E12	-7.269052187322097E11
1.284140543508242E12	-6.950709274605833E11
1.3006605414284888E12	-6.64414316070079E11
1.312661986450893E12	-6.346962690240946E11
1.325447202031578E12	-6.012814965462035E11
1.339229726891223E12	-5.709084546358192E11
1.348355558208596E12	-5.388203321104574E11
