Sun X	Sun Y
1.007869187989433E9	-4.1334596408398736E8
1.0213058672525938E9	-3.624324835714516E8
1.0319048248074099E9	-3.1052014394185716E8
1.0394708112244815E9	-2.5814045530342102E8
1.0441080405904019E9	-2.056809174527247E8
1.0461202980613523E9	-1.5331891243622246E8
1.0455133342351805E9	-1.0091118623970318E8
1.0421112800328437E9	-4.862708514848432E7
1.0358476572166433E9	3236517.1940382035
1.0269880125192088E9	5.42915242827341E7
1.0158954746804055E9	1.0466662197200775E8
1.002546274194234E9	1.5458269510106742E8
9.865985597499312E8	2.0417598682144105E8
9.676284648847878E8	2.5297419741012344E8
9.457900690268933E8	3.0037992757919645E8
9.215174724265538E8	3.4601356190687716E8
8.953336733388716E8	3.9001400484954697E8
8.672274799757441E8	4.326571570177306E8
8.370401612725893E8	4.7397087497046536E8
8.045870236547872E8	5.1367166661919785E8
7.701254403532025E8	5.514456625301055E8
7.338523718379495E8	5.872973932874411E8
6.958640218727462E8	6.212837622765536E8
6.5593579686349E8	6.533648848692094E8
6.140719707226746E8	6.830559113151387E8
5.706262911491116E8	7.100056521937542E8
5.2620163847087777E8	7.341269882329663E8
4.8111869369319767E8	7.558742497876313E8
4.352097910559458E8	7.755180549619716E8
3.881353780266799E8	7.930233014144142E8
3.398169122238503E8	8.078376265913001E8
2.906976718888267E8	8.196475563217732E8
2.4122053115634137E8	8.284221018947637E8
1.9166603249039686E8	8.344526027979298E8
1.419210114487456E8	8.377902377056357E8
9.210755892076054E7	8.382647112892385E8
4.250509453508545E7	8.357214923324616E8
-6416207.770868661	8.30341381699398E8
-5.464028920664549E7	8.225046894543544E8
-1.0234198504715124E8	8.123280120684202E8
-1.4975879008721668E8	7.995476982609197E8
-1.9654563793936893E8	7.836760560036725E8
-2.421093349106417E8	7.646758239181201E8
-2.858822844765957E8	7.428650830926077E8
-3.2780531875905687E8	7.188368116570464E8
-3.680858200023674E8	6.927446620841589E8
-4.0682097230828756E8	6.645289602675824E8
-4.437754417557328E8	6.339770651123489E8
-4.7857918253216296E8	6.013063522042505E8
-5.111295675025685E8	5.667759557854466E8
-5.414860425631773E8	5.306225799817262E8
-5.697031741746305E8	4.926745236506672E8
-5.953628509438987E8	4.5287886859500957E8
-6.180389295039054E8	4.114987232632041E8
-6.374808930528901E8	3.69190116002964E8
-6.540638493839916E8	3.2647102566151214E8
-6.681623041355516E8	2.8337585983967376E8
-6.799247412230403E8	2.3961227174266312E8
-6.889176856431562E8	1.9502483205461755E8
-6.947968422422502E8	1.4995854053288335E8
-6.974363276792313E8	1.0490108012611409E8
-6.971292834170852E8	6.025338772012474E7
-6.9401636572165E8	1.5992590759068217E7
-6.880349670405068E8	-2.7766269641064867E7
-6.790359250482094E8	-7.077967770876792E7
-6.671669492670867E8	-1.125120018488987E8
-6.528674184702152E8	-1.5279829854737133E8
-6.364662894781976E8	-1.9172634400060904E8
-6.179186436380858E8	-2.2962681082014796E8
-5.968164564612249E8	-2.6634464162527165E8
-5.730285209114364E8	-3.01404935557139E8
-5.46792208580085E8	-3.3416605171525556E8
-5.1877793021779317E8	-3.644470477317684E8
-4.893382063076573E8	-3.924354889113417E8
-4.5857071519820136E8	-4.1836579918714035E8
-4.2628879471568364E8	-4.4215985312963647E8
-3.926670263499142E8	-4.6351848266460276E8
-3.5799628720198375E8	-4.82331762770122E8
-3.226155721516893E8	-4.987291460017877E8
-2.864127235673528E8	-5.129171635297694E8
-2.4927762402165073E8	-5.2465604508905596E8
-2.113230811785536E8	-5.335658922246102E8
-1.7315223371402946E8	-5.393149827228818E8
-1.3537330695477146E8	-5.422183184604278E8
-9.818453998624592E7	-5.427336777827863E8
-6.135039927790997E7	-5.412378515394864E8
-2.460199240347559E7	-5.375047212256302E8
1.1905463005172335E7	-5.312494876779853E8
4.777124046500347E7	-5.222889829083624E8
8.257692455138466E7	-5.1090783486410546E8
1.163221932750049E8	-4.973329016353868E8
1.489833394544412E8	-4.816298613046715E8
1.8047220136855972E8	-4.636595422557037E8
2.103244197841037E8	-4.4349239509984934E8
2.383220883960824E8	-4.215371666589422E8
2.6451606651930228E8	-3.9824218581098354E8
2.8934567807572275E8	-3.737227050091988E8
3.129026824278486E8	-3.476222407882807E8
3.3491466496512485E8	-3.196535585783984E8
3.547503727330221E8	-2.8986580811614305E8
3.721353616210746E8	-2.5884989157112175E8
3.8718792926989186E8	-2.2702232693665016E8
4.002189561947342E8	-1.945672349517781E8
4.112757105638501E8	-1.6127285496629617E8
4.201206130343141E8	-1.2721581566885613E8
4.2661112200202084E8	-9.262030043557043E7
4.308590885614245E8	-5.78532836694822E7
4.331424893513034E8	-2.2842216215337943E7
4.333635165070914E8	1.257857632487402E7
4.3119186651992655E8	4.847883648490764E7
4.2619439821228176E8	8.439837222678429E7
4.1852413371691453E8	1.1972942015076043E8
4.0858978014753157E8	1.5413289278576478E8
3.968903821435653E8	1.8775489631971067E8
3.833631494329671E8	2.2094041581563026E8
3.6774538179938537E8	2.53725988968999E8
3.4973690190847266E8	2.8581970019979095E8
3.2950396272771424E8	3.16791246277221E8
3.0725926499965405E8	3.4656729362236995E8
2.831294484201766E8	3.751539800612385E8
2.5693619551701453E8	4.025610110880775E8
2.2862509892870247E8	4.283499536002769E8
1.984923826333777E8	4.522032334395944E8
1.670249033391859E8	4.740204218489428E8
1.3448416256209922E8	4.9421464688682675E8
1.0060669679718193E8	5.1300333388317525E8
6.502378566364181E7	5.302621763306235E8
2.7618129932504766E7	5.453672542612114E8
-1.1132474073073277E7	5.579184722260092E8
-5.0765685543171994E7	5.678779072689209E8
-9.09777286994797E7	5.755324014890583E8
-1.3192821125654987E8	5.809935103699338E8
-1.735916791646926E8	5.840716926808109E8
-2.1579981298124883E8	5.845670355996934E8
-2.581513703707012E8	5.825091300142406E8
-3.006121979003217E8	5.781697795808924E8
-3.433153177714829E8	5.71566192490214E8
-3.864462035378783E8	5.624264061893761E8
-4.296737389089273E8	5.502277650257372E8
-4.723950557328721E8	5.349180020286281E8
-5.14080715720598E8	5.167735771342345E8
-5.546811862695564E8	4.963603082201989E8
-5.944874872726063E8	4.7376684873444694E8
-6.336206118419027E8	4.488078720558949E8
-6.718501668409307E8	4.211168090829139E8
