Neptune X	Neptune Y
3.9725652048073037E12	2.0259687468140654E12
3.9635140282193726E12	2.0434981318677375E12
3.9543858131551177E12	2.0609877161111455E12
3.945181088407505E12	2.0784374920584465E12
3.9358996571831616E12	2.0958468221081746E12
3.9265420866481045E12	2.1132155620956985E12
3.9171082199936367E12	2.1305433567076511E12
3.9075983867454746E12	2.1478296836399746E12
3.8980128822678037E12	2.1650744651496345E12
3.888351662315896E12	2.1822772654977512E12
3.8786149692446094E12	2.1994376288191816E12
3.8688031094044873E12	2.216555312958047E12
3.8589162416410303E12	2.233630045593329E12
3.8489544968950503E12	2.2506614672086357E12
3.838918054744069E12	2.2676492123649795E12
3.828807121657672E12	2.284592941381924E12
3.818621903799128E12	2.301492327694946E12
3.8083626001128516E12	2.3183470441960176E12
3.7980294021493037E12	2.335156759187169E12
3.7876224935078438E12	2.351921141629181E12
3.777142059871243E12	2.368639878235275E12
3.7665883257911934E12	2.385312684913428E12
3.7559615667773657E12	2.4019392483814956E12
3.745261966714862E12	2.4185191359775073E12
3.734489560919558E12	2.4350519987815737E12
3.7236446974943257E12	2.4515377343663994E12
3.7127276801840615E12	2.4679758175495854E12
3.70173842268927E12	2.484365972504713E12
3.6906775143805815E12	2.5007079709685493E12
3.6795447776790957E12	2.5170013689056006E12
3.6683407821325967E12	2.5332458990509937E12
3.6570655182998564E12	2.5494413541802134E12
3.645719190742909E12	2.5655871956412026E12
3.6343021868463774E12	2.581683238055687E12
3.622814661016567E12	2.597729223891966E12
3.6112567787614707E12	2.613724788727668E12
3.5996287734150244E12	2.6296695954767715E12
3.5879308842224756E12	2.645563333363486E12
3.576163332313843E12	2.6614056923291777E12
3.564326324858722E12	2.677196372034311E12
3.5524201056081196E12	2.6929351155992554E12
3.540445004437209E12	2.708621636312095E12
3.528401173433805E12	2.724255461477882E12
3.5162887035903477E12	2.7398364247423975E12
3.5041081433067183E12	2.7553642366488315E12
3.49185937164239E12	2.7708385168161123E12
3.4795429182794873E12	2.786258957951708E12
3.467158923668868E12	2.8016254062473076E12
3.4547075433410703E12	2.81693743473938E12
3.442189084245798E12	2.832194744308408E12
3.4296038139191953E12	2.8473970649627017E12
3.4169519662335073E12	2.862544086825901E12
3.404233722202298E12	2.8776354899520835E12
3.391449348042367E12	2.892671099912735E12
3.378599267841338E12	2.907650551739528E12
3.3656834153951494E12	2.9225735068682197E12
3.352702325603033E12	2.9374396940225186E12
