Sun X	Sun Y
-3.111314687322043E8	2.0320035671812603E8
-3.443559768755096E8	1.9759302925568554E8
-3.769430841745549E8	1.8962506549594855E8
-4.0897471938296145E8	1.7963962583556604E8
-4.4076019556947446E8	1.67710019366877E8
-4.7234024786609954E8	1.5341561286228767E8
-5.033410887987999E8	1.3658197377939105E8
-5.3338053653130895E8	1.1723733198104529E8
-5.622584692557681E8	9.570531708524506E7
-5.900826719067156E8	7.200347051748836E7
-6.166886080088902E8	4.599609964761109E7
-6.417200876639796E8	1.758254724703731E7
-6.646705169656256E8	-1.2899472118944129E7
-6.855475591946753E8	-4.494029498251663E7
-7.045954624463278E8	-7.827654877383047E7
-7.221434129243923E8	-1.1311309715165707E8
-7.379062102644699E8	-1.4985700291077822E8
-7.51370793253168E8	-1.8851161946471402E8
-7.620128022573979E8	-2.2870327587405586E8
-7.698309259651192E8	-2.6982468342992485E8
-7.750121145145078E8	-3.1166509318666446E8
-7.776736026800445E8	-3.5418218619399524E8
-7.776133997600622E8	-3.974274632687544E8
-7.746314449672942E8	-4.4104129070700926E8
-7.68789322397591E8	-4.847097684714094E8
-7.603295841501336E8	-5.2819955002519566E8
-7.493869058712401E8	-5.717338584790772E8
-7.356206370387117E8	-6.153601506505394E8
-7.18648625342918E8	-6.588186692347554E8
-6.982977170692282E8	-7.013980704088964E8
-6.750206289740076E8	-7.425598328418603E8
-6.492996147102946E8	-7.821987559280022E8
-6.2142136446444E8	-8.205901141077554E8
-5.911145778192253E8	-8.578593690273576E8
-5.58214733991562E8	-8.93727896522136E8
-5.227273544300476E8	-9.277816547501608E8
-4.850435720919424E8	-9.597528508229796E8
-4.453141001858572E8	-9.897311134401317E8
-4.0351657362817657E8	-1.0176349223796082E9
-3.595492991956293E8	-1.0431904178850164E9
-3.1371814741078967E8	-1.0658669234993672E9
-2.6659683019019473E8	-1.0855630593581367E9
-2.1866376996315655E8	-1.1024853613356712E9
-1.6992921868154344E8	-1.1171030386909811E9
-1.2006191331242518E8	-1.1293754158534827E9
-6.894837001963066E7	-1.1389695264945433E9
-1.6848728062785696E7	-1.1453527470788372E9
3.5608642327950336E7	-1.14846069073216E9
8.808722636859867E7	-1.148498106661096E9
1.4046345598594302E8	-1.1457319678148437E9
1.928336085213651E8	-1.1401078900678387E9
2.4493086475590512E8	-1.1314661829734612E9
2.9643030148424613E8	-1.1198400571530857E9
3.470164614013569E8	-1.1055410252057774E9
3.968834069995117E8	-1.0888686455534256E9
4.461966021565378E8	-1.0696670051461625E9
4.949060685819673E8	-1.0475759684267955E9
5.424040659165738E8	-1.0223087746547773E9
5.88101283649297E8	-9.942165345939871E8
6.317684392128676E8	-9.638251158962733E8
6.736573921139237E8	-9.315881917715065E8
7.140140130576215E8	-8.973800165420303E8
7.527401609760017E8	-8.610480216082406E8
7.895030148591143E8	-8.225185974326888E8
8.240383664113662E8	-7.821543042142537E8
8.564469798538508E8	-7.401484915785666E8
8.86762343652645E8	-6.9653575697856E8
9.148635166435997E8	-6.51141094641062E8
9.402626468275591E8	-6.041126290171497E8
9.62757746602495E8	-5.559270263319485E8
9.824588239630768E8	-5.071319263813807E8
9.998814526633223E8	-4.5787241709395015E8
1.0151840492430725E9	-4.078539790842938E8
1.0281903815982063E9	-3.567966983780489E8
1.0383458668358167E9	-3.047644198743382E8
1.0454562716130153E9	-2.5229073261212754E8
1.0496279052558573E9	-1.99763992508447E8
1.0511657207670996E9	-1.473629926126066E8
1.0500778695864413E9	-9.494505505115452E7
1.0461896137857051E9	-4.268038046687507E7
1.0394370129778969E9	9133567.92709485
1.0300869679976906E9	6.010820186582974E7
1.0185056353497996E9	1.1037170769084811E8
1.0046711858912735E9	1.6014554605428472E8
9.882447281468481E8	2.0956663566005734E8
9.688034635689135E8	2.5816493902595156E8
9.465021919437579E8	3.05344157123931E8
9.217741604077272E8	3.507259784645708E8
8.951421427048397E8	3.94447991737378E8
8.665953534655815E8	4.3678542535434073E8
8.359764566053636E8	4.777640628307521E8
8.031029275573134E8	5.1710011581454515E8
7.682342297093863E8	5.544784685139711E8
7.315701898966999E8	5.89904102222987E8
6.932091178298739E8	6.234335226881399E8
6.529295150031447E8	6.550278103142003E8
6.107375374399265E8	6.842023368547246E8
5.669902753007246E8	7.106069761858187E8
5.2229274695876604E8	7.341554540795766E8
4.769695730106036E8	7.553037536670073E8
4.3085540858620924E8	7.743250724847157E8
3.8361394037987095E8	7.911875387481045E8
3.351671029670617E8	8.053430635889064E8
2.8595867349718916E8	8.164811189896854E8
2.3643024290321773E8	8.245734601866777E8
1.8686255205726433E8	8.299118510154027E8
1.3714272669600976E8	8.325489651908298E8
8.739438697273552E7	8.323147919937681E8
3.789849720776892E7	8.290571559707804E8
-1.0873105766852025E7	8.229581252120463E8
-5.89026193807891E7	8.144013395418081E8
-1.0636384298174164E8	8.035055298281583E8
-1.5349284042369118E8	7.900108583181134E8
