Charon X	Charon Y
2.598967721906017E12	-4.531169678817543E12
2.616413939791004E12	-4.52572215490868E12
2.6338609037204663E12	-4.5201802606729E12
2.6512804358230195E12	-4.514608108631871E12
2.668632994298554E12	-4.509000787516291E12
2.685979124363353E12	-4.503300542682734E12
2.703307790684647E12	-4.497559610664216E12
2.720568312751356E12	-4.491794036982488E12
2.737808856031657E12	-4.485941667320146E12
2.755044026437424E12	-4.480031626636819E12
2.772216841252823E12	-4.474105035391594E12
2.7893495571148906E12	-4.468107714323375E12
2.8064833929671763E12	-4.462033373698921E12
2.8235728212243887E12	-4.455938572861628E12
2.8406024187276206E12	-4.449799208287051E12
2.8576235033938813E12	-4.443573513407369E12
2.8746265556704814E12	-4.437304836729182E12
2.891565983473297E12	-4.43101490018298E12
2.908469045295403E12	-4.424653822491449E12
2.9253692712526514E12	-4.418219429803526E12
2.942228972817162E12	-4.411760920237523E12
2.9590271611061855E12	-4.405265955716929E12
2.9758050599915264E12	-4.398691279307205E12
2.992573200884791E12	-4.392058951272722E12
3.0092897386380537E12	-4.385406492144233E12
3.0259512792641245E12	-4.378707191505727E12
3.0425978012317593E12	-4.371929061224482E12
3.0592287287984375E12	-4.3651009454165044E12
3.075805772201094E12	-4.3582519173865864E12
3.0923302600061514E12	-4.3513543524096924E12
3.108838305930694E12	-4.34438064680148E12
3.125330078498413E12	-4.3373562879033237E12
3.1417711528701943E12	-4.330309636862002E12
3.158157419742729E12	-4.3232202088795854E12
3.1745205702314224E12	-4.3160584907676133E12
3.1908700415093447E12	-4.308839000396206E12
3.207177650302388E12	-4.301592918820138E12
3.223427637524985E12	-4.2943145116990947E12
3.2396418015279556E12	-4.2869732401149805E12
3.255841762141345E12	-4.279565256589448E12
3.272014058474729E12	-4.2721183885206797E12
3.288133493793899E12	-4.264646721820422E12
3.3042021050253154E12	-4.2571304738049775E12
3.320244347959087E12	-4.2495478640711133E12
3.336269604761063E12	-4.2419076480714785E12
3.3522595807815874E12	-4.2342346679222495E12
3.3681958608054385E12	-4.226534236852569E12
3.384084781024592E12	-4.2187866170534526E12
3.3999473081312188E12	-4.210975236209767E12
3.4157903423656265E12	-4.203108584462763E12
3.4315988925220864E12	-4.19520760647308E12
3.447356363040571E12	-4.1872790201909897E12
3.463064508992914E12	-4.1793085865254536E12
3.478740036553975E12	-4.1712796021464287E12
3.4943939766309844E12	-4.1631927733301704E12
3.51001961119851E12	-4.155064141857951E12
3.525601364833056E12	-4.146906420759113E12
3.541131870142925E12	-4.138716129207918E12
3.5566188770612427E12	-4.1304786047872534E12
3.572076165382205E12	-4.1221839571697666E12
3.5875092761091606E12	-4.113836653083054E12
3.602911000591452E12	-4.105449989300841E12
3.6182692038560225E12	-4.097033226322374E12
3.6335779574473145E12	-4.0885839294739194E12
3.6488421346866284E12	-4.0800912089542974E12
3.664072266345294E12	-4.071545921527803E12
3.679275178857147E12	-4.0629482484676675E12
3.6944489375766606E12	-4.054306652375772E12
3.709585265608617E12	-4.0456306630281772E12
3.724676205862995E12	-4.0369239446377056E12
3.7397197295603237E12	-4.0281823642351187E12
3.754720566221277E12	-4.0193977494071055E12
3.769686225792529E12	-4.0105640245316543E12
3.7846217007759385E12	-4.001681069565469E12
3.799526643491134E12	-3.992754144550802E12
3.814396217278562E12	-3.9837902007959883E12
3.8292243456283657E12	-3.9747938310966377E12
3.8440071843238E12	-3.9657650828757646E12
3.858744937267282E12	-3.956700022617838E12
3.873441247328204E12	-3.947593375404467E12
3.888100870986376E12	-3.938441469229124E12
3.9027272053276973E12	-3.929243859887814E12
3.917320925046303E12	-3.920003136602798E12
3.9318800666103677E12	-3.9107234477335767E12
3.9464011772410366E12	-3.9014086575991426E12
3.960880861375995E12	-3.892060921734367E12
