Deimos X	Deimos Y
1.2764084522671283E11	-1.6835571445814102E11
1.8563819455640582E11	-9.474395091795062E10
2.092460771582899E11	-3.813800614288087E9
1.9474696540351132E11	8.78156281461162E10
1.467703278734642E11	1.6454935463745444E11
7.560289885593445E10	2.1570106816621066E11
-6.521823165632934E9	2.3649595457961868E11
-8.808882427543358E10	2.270505396317763E11
-1.595132889216029E11	1.9081662504252237E11
-2.1340914814446936E11	1.3332608793024542E11
-2.4448663508390704E11	6.142218342533664E10
-2.4943783383730847E11	-1.7127780885855543E10
-2.269940797048877E11	-9.38169717062105E10
-1.7824199295426382E11	-1.5958031050878036E11
-1.0720517415118973E11	-2.0521953001028632E11
-2.154047067707008E10	-2.2239147452407556E11
6.71342206477305E10	-2.0545233394313297E11
1.441941789409703E11	-1.540187552658406E11
1.9509226373063998E11	-7.505101448796265E10
2.0997362596211118E11	1.7608573317053486E10
1.871238276361212E11	1.0710940750338431E11
1.3279728197604253E11	1.7874137239948672E11
5.803839234118414E10	2.231905605855308E11
-2.4911124571465855E10	2.3693850327524185E11
-1.0492291423297255E11	2.2100008622841248E11
-1.729169974443706E11	1.793940063233985E11
-2.2200173839656906E11	1.1800170352988951E11
-2.4734658299798486E11	4.39009528480377E10
-2.4609691460715366E11	-3.4959793055893265E10
-2.174857063697167E11	-1.0992832865576395E11
-1.6321159422225983E11	-1.7186229776040466E11
-8.806587945135168E10	-2.1165157485910318E11
-6.010365495886704E8	-2.213788690020833E11
8.67392664051831E10	-1.963626192372212E11
1.5900427157318027E11	-1.3775731362030182E11
2.0229578687423947E11	-5.4246338449050606E10
2.0840507373021545E11	3.920835289310109E10
1.7757848014915192E11	1.2581054780611667E11
1.1749704898191853E11	1.918900331179328E11
3.9768380105465195E10	2.2949709943611798E11
-4.346504836109624E10	2.3628418745740778E11
-1.2149443193734467E11	2.140797338592675E11
-1.857425444269822E11	1.674118914190719E11
-2.2980238983344278E11	1.0247852009921257E11
-2.492976394717852E11	2.6574237502145195E10
-2.4183151201675342E11	-5.21803523552518E10
-2.0715590179095215E11	-1.24995755715304E11
-1.4761329017029752E11	-1.8267233690291135E11
-6.88017901546514E10	-2.1624023167590738E11
1.9813493212853516E10	-2.183111922292171E11
1.050258759785922E11	-1.8530937884246548E11
1.717480263498901E11	-1.200315826793268E11
2.0699296019167697E11	-3.2824631806610558E10
2.043586282800855E11	6.047932630707923E10
1.659913159505419E11	1.434202770188444E11
1.0079448616879158E11	2.0350913048427795E11
2.074698340295232E10	2.3414425020979727E11
-6.221355158456042E10	2.3406143884265613E11
-1.378293289828203E11	2.058165128951859E11
-1.980206467818914E11	1.543903451723427E11
-2.3685165166967923E11	8.626934365263445E10
-2.5039321012254675E11	8.954541313626554E9
-2.3671251200680817E11	-6.926755723671646E10
-1.961008625790977E11	-1.394839247011061E11
-1.3157557631276917E11	-1.924714599133554E11
-4.95708545335504E10	-2.1946802070890598E11
3.953885479093966E10	-2.137245904013851E11
1.2187029947220544E11	-1.7290274014583005E11
1.8239911024765268E11	-1.0151070583750786E11
2.0928744950707077E11	-1.1459548213914953E10
1.980505799187655E11	8.080346180408026E10
1.526426947403443E11	1.5940073696297083E11
8.299484604112154E10	2.1312752351068137E11
1.2921375949451115E9	2.367024993311444E11
-8.082067873295663E10	2.2986520594041922E11
-1.5356521245359293E11	1.9582430045196927E11
-2.093582646175321E11	1.3996262712625137E11
-2.427269358493987E11	6.90270882713263E10
-2.501870948022103E11	-9.287403125527271E9
-2.3028044952132797E11	-8.653500910186205E10
-1.8386399063093317E11	-1.5369333008670312E11
-1.1466750864229843E11	-2.0155433838504538E11
-2.998888314394041E10	-2.2164491507108942E11
5.89141487262722E10	-2.079821800569917E11
1.3761316432129196E11	-1.5959222083150626E11
1.9138028592631635E11	-8.271799685093106E10
2.097428388894578E11	9.325569816640282E9
1.9017592428718015E11	9.974756508736003E10
1.3829918809107043E11	1.734579693057115E11
6.487638913190141E10	2.2058768820987476E11
-1.7839129301394558E10	2.3712214703942352E11
-9.855831165980229E10	2.2372550751319934E11
-1.6799765395583167E11	1.8419556326901505E11
-2.190670590754214E11	1.2427683665151184E11
-2.4675105715256982E11	5.095482295225867E10
-2.48011609115464E11	-2.7892822563347992E10
-2.2187836184107135E11	-1.0366950578828062E11
-1.6980209037370337E11	-1.6726003724065735E11
-9.626345532384659E10	-2.095139710125875E11
-9.453306553981232E9	-2.22336113028679E11
7.851594629320152E10	-2.0064768308532123E11
1.5281708019255637E11	-1.4497174396967075E11
1.992730843386815E11	-6.329001088763808E10
2.0899054867169574E11	2.9881118305479755E10
1.8141274027837772E11	1.1770532214062814E11
1.236476532940517E11	1.8607268027450983E11
4.708787453671591E10	2.2647009874510434E11
-3.607053345020449E10	2.360735544779512E11
-1.1493995160808948E11	2.1638468275102115E11
-1.807354462554586E11	1.7172882512712088E11
-2.2685217298797302E11	1.0817757145760118E11
-2.4872803831857687E11	3.293743934320569E10
-2.4377680617194757E11	-4.5942011464019844E10
-2.1153283052709567E11	-1.1972683341952847E11
-1.5406762516996628E11	-1.7923602774246848E11
-7.664280512508884E10	-2.154303897972434E11
1.1648881347208149E10	-2.2068575352258447E11
9.78971056624713E10	-1.9095375676690753E11
1.6703928512482092E11	-1.2835264216855554E11
2.0568498508557367E11	-4.256666056252068E10
2.0668475714388272E11	5.08943685837945E10
1.7142359907362637E11	1.3540794449430345E11
1.0832591059420036E11	1.9799737088426447E11
2.923005273810585E10	2.315166983648677E11
-5.384045588219192E10	2.342655323840864E11
-1.304443701800785E11	2.0850521449165637E11
-1.9229881345634827E11	1.5903187837737372E11
-2.332741723546076E11	9.221312312851762E10
-2.4925628417245825E11	1.5463721646337654E10
-2.3811865877178156E11	-6.300074570958899E10
-1.9992455346299838E11	-1.3432130714407793E11
-1.374027609724696E11	-1.8928504825228305E11
-5.6628903166709045E10	-2.1903642408719803E11
3.240755166315035E10	-2.1654144735216025E11
1.1609422128800497E11	-1.789191189366601E11
1.79344863001996E11	-1.0994802622394461E11
2.097991616910619E11	-2.090543531843264E10
2.0215606267447134E11	7.19695783648927E10
1.5963862565802875E11	1.5251430039406778E11
9.178819262526315E10	2.089775566624192E11
1.073113696866897E10	2.3554162450353848E11
-7.17574171905786E10	2.3154779081055344E11
-1.4570344472026135E11	1.999468908230029E11
-2.033249771871929E11	1.459599646350599E11
-2.389630512344533E11	7.622479443249684E10
-2.4895142721304208E11	-1.6479966742540166E9
-2.3163351746161313E11	-7.928272270668759E10
-1.8762627923300333E11	-1.4770476909567087E11
-1.2035465516704501E11	-1.97699008558261E11
-3.674621294688462E10	-2.2066530657355145E11
