Phobos X	Phobos Y
2.2421580087273965E11	1.054643018621765E11
1.8167680881051947E11	1.7480226351580972E11
1.1985846381255351E11	2.2578994017356143E11
4.574347818701026E10	2.539226690459978E11
-3.303418262118961E10	2.5695101980474014E11
-1.0869823993907674E11	2.3479156552242175E11
-1.7374284462832092E11	1.894502256532944E11
-2.2134493179039734E11	1.2497983249744945E11
-2.4586428604458847E11	4.74316619437151E10
-2.434892798640374E11	-3.530155614740451E10
-2.1301521183783118E11	-1.139111410814264E11
-1.5660884999976822E11	-1.7854624054275034E11
-8.023875868622371E10	-2.2022323872637686E11
6.6525529260546255E9	-2.3258923857393338E11
9.250015586182147E10	-2.134942210255115E11
1.6577005760289758E11	-1.65664973076778E11
2.1717550304894577E11	-9.609617340106001E10
2.4114621251694254E11	-1.4428496752529863E10
2.3620081231715536E11	6.89688292493301E10
2.0443739012599396E11	1.4456443459070868E11
1.5061127217980197E11	2.0461697315719742E11
8.119149124903046E10	2.4358505631604532E11
3.5861259354327908E9	2.5820228707407858E11
-7.443752269698244E10	2.4741025667516025E11
-1.451989467610941E11	2.12271767584244E11
-2.0150779660273285E11	1.5591462554187424E11
-2.37116652764707E11	8.349313377423416E10
-2.4729687387091196E11	2.094700345335021E9
-2.295622546485333E11	-7.954276009344217E10
-1.8446449818234094E11	-1.5168056315351492E11
-1.1622285177322003E11	-2.0474340557890894E11
-3.2792924000985435E10	-2.3096178758818024E11
5.5005395464125175E10	-2.2611486591276648E11
1.3533510081282414E11	-1.9069518036021112E11
1.976381251292383E11	-1.2989901271752713E11
2.3452914549064645E11	-5.2398821004958275E10
2.4267755170796658E11	3.1535503857105198E10
2.2265122835893542E11	1.1182580288987631E11
1.7812286600198438E11	1.7982971546563507E11
1.1489637317120811E11	2.2897771608985916E11
4.004027869516575E10	2.5497295929523962E11
-3.877867505004392E10	2.557666144286885E11
-1.1379163035910918E11	2.3146735916537598E11
-1.7753651794407797E11	1.8426841682566058E11
-2.2327536134137357E11	1.1840754611930893E11
-2.455064545772235E11	4.011339623611852E10
-2.406244621482961E11	-4.256959061729586E10
-2.0770446482328253E11	-1.2024232572037573E11
-1.492489417752572E11	-1.830736783562588E11
-7.1563555232767E10	-2.2225202341062286E11
1.5657910590258762E10	-2.317526083921442E11
1.0077003591539314E11	-2.098515432799678E11
1.7236234111588843E11	-1.5969225146028418E11
2.2143404919365585E11	-8.857220174023038E10
2.4277303273315433E11	-6.269978362106639E9
2.3524071353667477E11	7.686085849821573E10
2.012108058572502E11	1.5141137651833798E11
1.456323981276909E11	2.0981959150076523E11
7.509383655395242E10	2.4674459924182687E11
-2.9374112729911056E9	2.5912208433192892E11
-8.068188634064085E10	2.460899698038808E11
-1.504864809936629E11	2.0890153437926175E11
-2.0522701568151733E11	1.5087064067813617E11
-2.3876785827754517E11	7.733211601331696E10
-2.465503421768715E11	-4.461527247124646E9
-2.263289988329186E11	-8.564721065203319E10
-1.789663443353033E11	-1.5644259220089716E11
-1.0903098298644331E11	-2.073605520155541E11
-2.4793624911502094E10	-2.3088475928359268E11
6.274316455355086E10	-2.2319153155717575E11
1.4176630373147305E11	-1.8522432580800522E11
2.0194650762943396E11	-1.2256022554753415E11
2.3625242882815906E11	-4.4091619855586685E10
2.4172642310535913E11	3.9869880670128334E10
2.1925068191331104E11	1.1934061082730582E11
1.7272338841996295E11	1.8584858220043796E11
1.0809019109841933E11	2.3302283367553867E11
3.2496575381868397E10	2.5676722199617563E11
-4.636071790158312E10	2.552272351091453E11
-1.20719875298782E11	2.2870051335954248E11
-1.8316203322214923E11	1.7956746183870654E11
-2.2703575077357373E11	1.1225132803063412E11
-2.4698159934525842E11	3.3156773168573643E10
-2.396046695481545E11	-4.952546446299593E10
-2.042621407612436E11	-1.2631429214634045E11
-1.4379113831890106E11	-1.87406291777973E11
-6.483095339794923E10	-2.2416713684854416E11
2.2677217556499916E10	-2.3090359247967545E11
1.0701195601804706E11	-2.0632175206593973E11
1.7689403388980814E11	-1.5398663089460434E11
2.2362079226596207E11	-8.150057352490584E10
2.4235225441466425E11	1.226106506448624E9
2.323021048803349E11	8.387085619795297E10
1.9611902956485547E11	1.57167123923015E11
1.3893499725394916E11	2.1374955146624966E11
6.74412394752862E10	2.484867897209109E11
-1.0851199073795635E10	2.5851670666048514E11
-8.816086239286655E10	2.4316758592943747E11
-1.568655708588911E11	2.038750224443208E11
-2.099065122550718E11	1.441330245991628E11
-2.412583234856651E11	6.945484281126869E10
-2.4653381339609875E11	-1.2741462660400919E10
-2.2373386595460266E11	-9.346842936102614E10
-1.7403872864493887E11	-1.6290666450778677E11
-1.0236817338794719E11	-2.1167107506320535E11
-1.7298661383509453E10	-2.3251393689363736E11
7.000382539598755E10	-2.220162843664129E11
1.4776885794335846E11	-1.815671071031734E11
2.059046318719535E11	-1.1711037662151268E11
