Enceladus X	Enceladus Y
9.806902909018572E9	1.4605340757090596E12
-2.6486088853171753E10	1.4617017962325845E12
-6.277478211895047E10	1.4620565481821296E12
-9.903878274849026E10	1.4616006102307654E12
-1.3525785522633762E11	1.460336849491867E12
-1.7141194320751965E11	1.458268712780887E12
-2.0748118958201898E11	1.455400216983822E12
-2.434459558977167E11	1.4517359384351848E12
-2.792868412813385E11	1.4472810014655684E12
-3.149847005671729E11	1.4420410663441309E12
-3.505206615670808E11	1.436022316169885E12
-3.8587614177170605E11	1.4292314429854236E12
-4.210328642424993E11	1.4216756334691257E12
-4.559728725895714E11	1.4133625539071484E12
-4.906785451470296E11	1.4043003346511294E12
-5.251326081794604E11	1.394497554034282E12
-5.5931814826551E11	1.3839632216924053E12
-5.932186239264019E11	1.3727067617276802E12
-6.268178761692571E11	1.3607379956105447E12
-6.601001380920184E11	1.3480671245981406E12
-6.930500436631215E11	1.3347047119973894E12
-7.256526355730383E11	1.320661665273587E12
-7.578933722476826E11	1.3059492181009617E12
-7.897581338934144E11	1.290578912455221E12
-8.212332275604244E11	1.27456258048955E12
-8.523053914957549E11	1.257912326467958E12
-8.829617986630505E11	1.2406405089145906E12
-9.131900593889501E11	1.2227597228690334E12
-9.429782232003025E11	1.2042827823241257E12
-9.723147798096934E11	1.185222702776369E12
-1.0011886594823215E12	1.165592683981909E12
-1.0295892327330197E12	1.145406093181422E12
-1.0575063091763287E12	1.1246764485559153E12
-1.0849301357564688E12	1.1034174029041545E12
-1.1118513944005837E12	1.0816427277397701E12
-1.1382611990784033E12	1.0593662977014429E12
-1.164151092427872E12	1.0366020754707369E12
-1.1895130417072454E12	1.0133640971179865E12
-1.2143394342352966E12	9.896664576623925E11
-1.2386230726106895E12	9.655232971557456E11
-1.2623571694696199E12	9.409487873013451E11
-1.2855353418700845E12	9.159571184291741E11
-1.3081516054090825E12	8.905624869741958E11
-1.3302003680099492E12	8.647790833398181E11
-1.3516764236604688E12	8.386210802017451E11
-1.3725749460671978E12	8.121026214801946E11
-1.3928914819962532E12	7.852378117281604E11
-1.4126219446413723E12	7.580407059467129E11
-1.4317626070271704E12	7.305253000218921E11
-1.450310095385298E12	7.027055217098667E11
-1.4682613826087617E12	6.74595222266819E11
-1.4856137815808088E12	6.462081687105381E11
-1.5023649384866753E12	6.175580365985477E11
-1.518512826226884E12	5.886584035378159E11
-1.534055737653683E12	5.595227434173185E11
-1.5489922785629758E12	5.301644212251843E11
-1.5633213604405364E12	5.005966884534599E11
-1.5770421928695125E12	4.7083267896931146E11
-1.5901542757210347E12	4.408854053513498E11
-1.6026573909315388E12	4.107677556547378E11
