Triton X	Triton Y
4.468479214994085E12	5.529609955730007E10
4.468334690911619E12	7.479104442564868E10
4.468191666277049E12	9.483420250269795E10
4.467341104906768E12	1.1471730268643547E11
4.466303941899316E12	1.3401622676236467E11
4.465839514663715E12	1.5350391966192093E11
4.465331578317405E12	1.7358068574519165E11
4.464042382603325E12	1.9336850638787048E11
4.462758243654172E12	2.125890307965519E11
4.462091604514845E12	2.3224406659772733E11
4.461033101143079E12	2.5234954392108405E11
4.459264390906823E12	2.7183654005597766E11
4.45797548839912E12	2.9109000339986444E11
4.456993342103419E12	3.110763760007218E11
4.455145454951145E12	3.3092535146134515E11
4.453230610777369E12	3.5007750704430615E11
4.452022613257044E12	3.6976785194436395E11
4.450201033088261E12	3.898119245410882E11
4.447842105749569E12	4.0904167077501044E11
4.446268989161671E12	4.2848423534225574E11
4.444393630554626E12	4.485727155749487E11
4.441720159163942E12	4.678890051903093E11
4.439798693170664E12	4.871902781004292E11
4.437754761777278E12	5.0726546672987494E11
4.434808288958518E12	5.265908879437776E11
4.432625433687572E12	5.458464602645998E11
4.430305823773504E12	5.65903393017718E11
4.427096072658572E12	5.851366375791735E11
4.424749606368018E12	6.04444420317808E11
4.422034813997873E12	6.244613263974988E11
4.418615689372757E12	6.43520987255385E11
4.416156097811649E12	6.630046212487755E11
4.412911402117861E12	6.828723913182831E11
4.409443177139158E12	7.017734413635896E11
4.406774542658168E12	7.215361572779287E11
4.402949315868887E12	7.410407445958416E11
4.399656375004893E12	7.599995077361929E11
4.3964608605011772E12	7.799476896930399E11
4.392300184797286E12	7.989412661006721E11
4.389187324121117E12	8.183249651328165E11
4.3851384737090527E12	8.380060124043599E11
4.3812026385258535E12	8.567849774541007E11
4.37771031388541E12	8.766344655723823E11
4.373093533437773E12	8.955990816879471E11
4.369563869843268E12	9.148889139353423E11
4.36503612383084E12	9.344465471791776E11
4.360804938344735E12	9.531737908655115E11
4.3567358993518145E12	9.72980292384312E11
4.351789785344213E12	9.916775264841459E11
4.3478949014961846E12	1.0111799168088804E12
4.3426944636597515E12	1.0302740736027747E12
4.3384741076236177E12	1.0492397745362391E12
4.3334457172601113E12	1.0687530327023789E12
4.328616156212621E12	1.0873282190699835E12
4.3238825454634336E12	1.1070034265002954E12
4.3184687512470703E12	1.1254841212891626E12
4.3138966226093906E12	1.1450347897625605E12
4.308095876026383E12	1.1636539929600845E12
4.303466668503742E12	1.1829124267252695E12
4.29748696590487E12	1.2017641389350486E12
4.292625737760187E12	1.2206963284000234E12
4.286600312658292E12	1.2397631396537825E12
4.28141937210208E12	1.2584167799051587E12
4.2753961941155605E12	1.277629437603411E12
4.2698822867392983E12	1.2960776704569592E12
4.2638496197692876E12	1.3153616123587195E12
4.2580335937426816E12	1.3336690366095813E12
4.2519494961279497E12	1.3529662540054683E12
4.245881134631822E12	1.3711777469453438E12
4.2396930116224634E12	1.390449664558262E12
4.233427347416634E12	1.4085935245464473E12
4.227080557190187E12	1.4278137934736328E12
4.2206731895260635E12	1.445911400256222E12
4.2141131972118857E12	1.4650548965400542E12
4.207619178335561E12	1.4831321434540046E12
4.200793092773543E12	1.5021638227110579E12
4.1942635160296343E12	1.520261186340343E12
4.1871267408061616E12	1.5391280679745547E12
4.180597686127011E12	1.557305295266644E12
4.1731302092937935E12	1.5759367938348936E12
4.1666010682379263E12	1.5942656307743435E12
4.1588336550210444E12	1.6125898701698303E12
4.15223872222503E12	1.6311270554432917E12
4.144279229268516E12	1.6491092584115498E12
4.137469647085067E12	1.6678479544338794E12
4.129504456404141E12	1.685544892758404E12
4.1222723847282266E12	1.704362031038501E12
4.114508394888467E12	1.7219605980797551E12
4.1066835417847637E12	1.7406074626955723E12
4.0992166441611772E12	1.7583886874983237E12
4.0908194346073486E12	1.7765857407617454E12
4.083487707667467E12	1.7947682820409043E12
4.0748296745951987E12	1.812412104269574E12
4.067204759717677E12	1.8309285419009666E12
4.058762926946737E12	1.8482768178234885E12
4.050425835112982E12	1.8666941737993325E12
4.0424415667735063E12	1.8842725477474126E12
4.033432403881148E12	1.9020923513699062E12
4.0255469842178447E12	1.9202138546741184E12
4.0164915367444614E12	1.9374345369423562E12
4.007978867089133E12	1.9557326591315837E12
3.9994648615160366E12	1.973013717263273E12
3.9901167276477134E12	1.990731598962549E12
3.981837708236756E12	2.0086347310525544E12
3.972422109694793E12	2.025661220828134E12
3.963430985187892E12	2.0437356353592585E12
3.954659346064871E12	2.0609408360330671E12
3.944855620355846E12	2.0782660250004863E12
3.9360988447033853E12	2.0961478109399177E12
3.9265861143993174E12	2.1129562720972275E12
3.916842665568652E12	2.130604740471576E12
3.907921731270195E12	2.1480099730608623E12
3.897842852751027E12	2.1647678931732285E12
3.8882479790241006E12	2.1825024126689634E12
3.8789220629508086E12	2.1994576876995317E12
3.8685173812897446E12	2.216302341144551E12
3.8589574797570225E12	2.233924510842671E12
3.8491934049451816E12	2.250563177214875E12
3.8385932849719634E12	2.267467637149202E12
3.828935686355964E12	2.284901967586625E12
3.8188056565597754E12	2.3013324477918604E12
3.808031379255955E12	2.318208315395894E12
3.798189508868462E12	2.335465393918694E12
3.7877921163732114E12	2.3517478732029443E12
3.77681050734993E12	2.368499604051442E12
3.7667305270776587E12	2.385622420418145E12
3.7561631668051255E12	2.4017967929912017E12
3.7449368569775835E12	2.418333308429925E12
3.734560565672613E12	2.435354808118039E12
3.723911545275108E12	2.4514776997432686E12
3.7124432462297085E12	2.467717921646876E12
3.701679952822615E12	2.484620430230533E12
3.6910025415259624E12	2.500785739687694E12
3.679378322980064E12	2.516691900787581E12
3.6681178815720244E12	2.533368107960363E12
3.657365745978284E12	2.5496777271551455E12
3.64576611712028E12	2.56532712208967E12
3.6339709154217583E12	2.5815866468261943E12
3.6229316469456597E12	2.598039045197823E12
3.6115305262783945E12	2.6136748145966284E12
3.5993867553307056E12	2.629379441562187E12
3.587749362233295E12	2.6457293666025967E12
3.57646856357202E12	2.6616351775668535E12
3.5644025804318667E12	2.676951996854935E12
3.5520870559638306E12	2.6927766853160806E12
3.540451065014835E12	2.708906523767488E12
3.5287297164495835E12	2.724348584139779E12
3.516214895736855E12	2.73953123491722E12
3.503786439682347E12	2.755317081997664E12
3.4919674647307896E12	2.771148103350117E12
3.4798517460850083E12	2.786277689575091E12
3.467030154920748E12	2.801312650646409E12
3.454396558583058E12	2.8169215403144224E12
3.4423072664394185E12	2.8325053241593545E12
3.4299172217543467E12	2.8474271894125293E12
3.416856796304871E12	2.8622340773501323E12
3.4039049668081963E12	2.8775648090158613E12
3.391488129699082E12	2.8929674693851265E12
3.3789314723021743E12	2.9077755091019634E12
3.365715268117919E12	2.9223032889516343E12
3.352375569785454E12	2.9372423847002075E12
3.339523944520214E12	2.952457878758168E12
3.3268246292792E12	2.967263945599505E12
3.31359794774491E12	2.9815785847306733E12
3.29993753428163E12	2.9960211061595356E12
3.2865117948690645E12	3.010889969018E12
3.273500890400559E12	3.0257275325313843E12
3.2603567658209746E12	3.040054038153648E12
3.246658079573137E12	3.0540789520544175E12
3.232712365360552E12	3.0683506473562266E12
3.2190690468502974E12	3.0829598307902573E12
3.205750655150366E12	3.097448313218661E12
3.192256827860169E12	3.1114603768652417E12
3.1782612008206143E12	3.125206402574054E12
3.1640188110450957E12	3.139148112523836E12
3.150000405751671E12	3.1534022349293354E12
3.1363055175956733E12	3.167625569281256E12
3.122570087584504E12	3.1814555617736353E12
3.1084262517139385E12	3.194935769742009E12
3.0939214116346E12	3.208432180977693E12
3.079428766934266E12	3.222202230202388E12
3.0652228604484126E12	3.236130534066813E12
3.0512019123961875E12	3.2498777401866416E12
3.0370210526768823E12	3.263244544238429E12
3.022457343546211E12	3.2763580049225537E12
