Io X	Io Y
4.826725215747125E11	-5.87783883319887E11
5.174890739115834E11	-5.55064778235242E11
5.505900641915541E11	-5.199348662303295E11
5.814331294294553E11	-4.82402830738736E11
6.097312761449556E11	-4.427223479266156E11
6.351872865737365E11	-4.012934171525112E11
6.580543546137644E11	-3.586372490645131E11
6.784653501188158E11	-3.1474845202021326E11
6.964440659421498E11	-2.696683948307778E11
7.117785175639913E11	-2.231484634894311E11
7.239647842014974E11	-1.7541589453079706E11
7.328307019674437E11	-1.2683032697965195E11
7.383045952307988E11	-7.790232692128986E10
7.407705297005857E11	-2.9010026455162804E10
7.404226881291028E11	1.98715279431481E10
7.373123107627415E11	6.873371366328546E10
7.31193738548764E11	1.1768845880172792E11
7.216867509667728E11	1.6634981798617273E11
7.087949329284503E11	2.1426882930007468E11
6.926692876081637E11	2.6099256450508206E11
6.738061888157357E11	3.062892061281408E11
6.524353104786333E11	3.503040545651675E11
6.285944045467993E11	3.930539678497277E11
6.02085619661439E11	4.345381990898246E11
5.726891581036538E11	4.743040144881968E11
5.406314935497284E11	5.118786085101725E11
5.0623029577999225E11	5.4699501645828296E11
4.6999408263405664E11	5.795504110261729E11
4.3215056162815155E11	6.099047307331604E11
3.926353907218885E11	6.38054000815441E11
3.5142077673189636E11	6.639687743638522E11
3.0837810217911584E11	6.871591325842657E11
2.639570307078921E11	7.0727647962513E11
2.1851685534215213E11	7.242311764181199E11
1.7255639312879034E11	7.381454985984882E11
1.2617882525618185E11	7.494262813765131E11
7.926276213790582E10	7.581191260696914E11
3.1794649022845177E10	7.641186369238884E11
-1.6157128060785873E10	7.670794183097622E11
-6.408929967958844E10	7.667421612633053E11
-1.1154426771973087E11	7.632454697922596E11
-1.5822156891448312E11	7.568637078657714E11
-2.0414620926509906E11	7.480165293256509E11
-2.4952850208697208E11	7.367107538545786E11
-2.9432633595246313E11	7.22816352451801E11
-3.383544519874359E11	7.060890014697375E11
-3.8106163436131506E11	6.864711357105222E11
-4.220839147815807E11	6.642770615866387E11
-4.612766032019696E11	6.39868481881994E11
-4.9882650614770996E11	6.136056049106202E11
-5.349666164368335E11	5.853903828947439E11
-5.695963583708324E11	5.550910824303804E11
-6.024730905943673E11	5.225858684872143E11
-6.330626329645598E11	4.8799743917758575E11
-6.611657035361259E11	4.518395741906313E11
-6.868139703161793E11	4.14406154564812E11
-7.102697939913076E11	3.7597725256357416E11
-7.317575993978544E11	3.3630872457098846E11
-7.510960085986088E11	2.953311754752285E11
-7.680454800966619E11	2.5301906742065286E11
-7.82144353970915E11	2.0972051268826584E11
-7.934134890749296E11	1.6593083866005286E11
-8.020266279864304E11	1.2193966052579472E11
-8.082819224161633E11	7.785937432588132E10
-8.123184716429431E11	3.342360095816116E10
-8.138753806296605E11	-1.1452424669317059E10
-8.127324329478636E11	-5.6625891905247765E10
-8.08617264538367E11	-1.0168284027462434E11
-8.017672110758323E11	-1.4608102188017914E11
-7.924481695589014E11	-1.8970266762637466E11
-7.809127489457957E11	-2.3250248850446222E11
-7.67234921082159E11	-2.7481470657249823E11
-7.510394366889866E11	-3.166205911503007E11
-7.322167669316484E11	-3.576517345712807E11
