Titan X	Titan Y
1.3690391555819512E12	-4.77034993517213E11
1.3797453935042588E12	-4.427708310332657E11
1.3878929681107354E12	-4.116474653781183E11
1.3940866086248503E12	-3.7656996254334143E11
1.403055332729223E12	-3.43480120819119E11
1.4069794305201116E12	-3.105657817620926E11
1.4129039177292876E12	-2.7472962204025168E11
1.4180390461184307E12	-2.42538109457305E11
1.419549664922762E12	-2.07201076344401E11
1.4244427956433428E12	-1.7244476111524063E11
1.4249261425980525E12	-1.3953606177753735E11
1.4257734898298896E12	-1.0293933692456628E11
1.4275960040249758E12	-6.978950311063385E10
1.4246601131091082E12	-3.488026180651649E10
1.4249505590983542E12	9.805124464687957E8
1.422147017164233E12	3.3690411997269417E10
1.4178478187179292E12	7.017875598333405E10
1.4159573902378542E12	1.0405904718350105E11
1.4089284972193833E12	1.3798139857091293E11
1.4042286142764226E12	1.7421688781198727E11
1.3981745438550474E12	2.0659008959522485E11
1.3888893011193743E12	2.4211310204468317E11
1.382856054465251E12	2.763337105453761E11
1.3721291090201458E12	3.0885948713861426E11
1.3622507608871807E12	3.446193753125611E11
1.3528541428714607E12	3.7650414461063934E11
1.3389483438016885E12	4.102855352309677E11
1.328396554260133E12	4.442815454529058E11
1.3143318696704182E12	4.751388096867694E11
1.2993230899734314E12	5.0951547054739795E11
1.2863926041148416E12	5.406794095295224E11
1.2683834564794443E12	5.720807904290676E11
1.2530712591905461E12	6.051319100537073E11
1.235936651058968E12	6.34144043701216E11
1.2160916228736587E12	6.662450261729296E11
1.1993981552372937E12	6.963273774433297E11
1.1778799463570051E12	7.248821846486537E11
1.1577626466171997E12	7.561580498744427E11
1.1377085740806433E12	7.831815387257788E11
1.1135481047010007E12	8.122037496944734E11
1.0929031991699451E12	8.406976860442372E11
1.0684658574332788E12	8.661131105480985E11
1.0437360033011453E12	8.947366257710521E11
1.0208096931866299E12	9.195957132583896E11
9.930313518578119E11	9.44891129604771E11
9.683649916652614E11	9.711582016033833E11
9.415245293794567E11	9.932842826454882E11
9.126249898992496E11	1.0184056794554307E12
8.868188537522413E11	1.0408411878640361E12
8.562216430106476E11	1.0619617595821052E12
8.27645428401378E11	1.0852734826227577E12
7.98802804179212E11	1.1040476976284712E12
7.664098316144E11	1.12492182321185E12
7.377305143993677E11	1.1445666949990364E12
7.05126853208284E11	1.1612778878355515E12
6.729744804243099E11	1.180876437495155E12
6.424118121069636E11	1.1962589308473472E12
6.073864659643408E11	1.2123159680696287E12
5.759270967635021E11	1.228701747924761E12
5.420605307758958E11	1.2409609927984773E12
5.069014685787147E11	1.2561311856320454E12
4.7481417014202185E11	1.268047954048777E12
4.3812535147039026E11	1.278945115998558E12
4.0412604061683704E11	1.2915356729106587E12
3.6961287397599634E11	1.2994412886046592E12
3.3223639920794025E11	1.3095863230885774E12
2.9879012128640027E11	1.3178944218457476E12
2.6142034206053033E11	1.3235367095879482E12
2.253077735964652E11	1.3317814119263374E12
1.9061460407794705E11	1.335505461835819E12
1.5198236125925165E11	1.3402171927907783E12
1.1737827921303601E11	1.3446984858443284E12
8.023015520774655E10	1.3452223510585361E12
4.263191705298199E10	1.3486206673331794E12
8.091212490456137E9	1.3483429784027412E12
-3.0739610195406048E10	1.34745474207791E12
-6.62066470899417E10	1.3478364536009873E12
-1.0238360436505879E11	1.343559443839835E12
-1.406524433086486E11	1.341729682205315E12
-1.7479683566880493E11	1.3375886851560742E12
-2.1277021089667404E11	1.3311982601773992E12
-2.4867083883870935E11	1.3271935302104766E12
-2.833183343528432E11	1.3185418424743992E12
-3.212982052100855E11	1.3112857886105103E12
-3.548306284704965E11	1.303355407803396E12
-3.9099119388182184E11	1.291810286805628E12
-4.2674290653878955E11	1.283171072355086E12
-4.594913529994168E11	1.2706022221760154E12
-4.961497024052749E11	1.2579548519021807E12
-5.288232067587154E11	1.2462483687241013E12
-5.62398358505997E11	1.230094358739476E12
-5.972715857429354E11	1.2166699700623213E12
-6.279021317809032E11	1.2006078601298276E12
-6.622259503056733E11	1.1828600080993596E12
-6.9371530933293E11	1.1673557852976733E12
-7.241630513093832E11	1.1472593955508816E12
-7.573140037551023E11	1.1290536429678013E12
-7.856986628196649E11	1.1098480963368542E12
-8.167927127522545E11	1.0875331766397218E12
-8.466660933341675E11	1.0682153242576057E12
-8.73680372394908E11	1.0448768892329937E12
-9.042109760218014E11	1.0220944326708145E12
-9.302472426852104E11	1.0000090363324032E12
