Enceladus X	Enceladus Y
1.2384671909792732E12	-7.883730892963098E11
1.254488768076363E12	-7.585870597757784E11
1.2706294399794036E12	-7.289569154809199E11
1.2851934629411526E12	-6.98469153844573E11
1.2998849948034941E12	-6.680069568447454E11
1.313101785698693E12	-6.36680250338764E11
1.3264030158563716E12	-6.055446043370747E11
1.338069653581447E12	-5.736293640070225E11
1.3498642800530164E12	-5.417634819515906E11
1.3601145573901038E12	-5.0915208135440106E11
1.3704205229699563E12	-4.767696185364452E11
1.3790439894268743E12	-4.436879421947743E11
1.3877974833736267E12	-4.1068439232995154E11
1.3949394481651743E12	-3.7707019823065027E11
1.4021147852969727E12	-3.4371400115178613E11
1.4075738179235042E12	-3.0974095981595935E11
1.4131605283042117E12	-2.7589377426017645E11
1.4170766356694995E12	-2.4156662598879944E11
1.421014724755215E12	-2.0752484831888724E11
1.423205726821031E12	-1.7296147282555096E11
1.4255274668098706E12	-1.385735137364925E11
1.426127783706636E12	-1.0384089222024548E11
1.42674249782467E12	-6.941933900699286E10
1.4255949859731248E12	-3.4575326151853424E10
1.4245784013936006E12	3.2560649301307127E7
1.4217981250559998E12	3.48484305552985E10
1.4190382354917217E12	6.93337475233677E10
1.4145051285059248E12	1.0413219138204527E11
1.4101085693296296E12	1.3862598463279932E11
1.403916809073851E12	1.7319724457909464E11
1.3977580110818923E12	2.0741940252480524E11
1.3898266784211892E12	2.418311567584767E11
1.3820382702827117E12	2.7587045953757355E11
1.3724372824041997E12	3.098606497681162E11
1.36289021638587E12	3.434808874542538E11
1.351579195180092E12	3.77163238217881E11
1.340424728090567E12	4.103999267821236E11
1.3274501283822004E12	4.434663196434788E11
1.3145604496621658E12	4.7614463790826013E11
1.2999256714045156E12	5.087437663309962E11
1.2854637258002676E12	5.408310369843212E11
1.269191537156049E12	5.726348638362384E11
1.2530408833083848E12	6.040231501536896E11
1.2351738351044434E12	6.351904691533608E11
1.2175045450697893E12	6.657823351332705E11
1.1980450108738103E12	6.959815802294646E11
1.1787554770630679E12	7.25743029950593E11
1.1577870045183928E12	7.551299344635494E11
1.137045964733377E12	7.838890341728591E11
1.1145525914974348E12	8.121539986772753E11
1.092281865054567E12	8.39951586809847E11
1.0683820768344536E12	8.672204384813385E11
1.044747008250149E12	8.938264317650646E11
1.0194092067115302E12	9.198317671031875E11
9.943563689398857E11	9.453491628734286E11
9.677340079762844E11	9.701737566067488E11
9.414193059910492E11	9.94323174313475E11
9.134685825748206E11	1.0177655057233555E12
8.858676768954078E11	1.0406941444473048E12
8.567714012273917E11	1.0627817901433179E12
8.280298089029039E11	1.0841838328347926E12
7.977311264142206E11	1.1047877247855774E12
7.678578344165295E11	1.1248424768884636E12
7.36568751816468E11	1.143921136016328E12
7.056885508803047E11	1.1623228880916365E12
6.733458005129194E11	1.1798287590541233E12
6.415038489155946E11	1.196762000140018E12
6.083412203180416E11	1.2125905333541362E12
5.7564065941108E11	1.2277681795740352E12
5.415879561284176E11	1.241954574898117E12
5.081166433780464E11	1.2555464658126538E12
4.7342259070925977E11	1.2679280425225933E12
4.39253314014233E11	1.2796888644662668E12
4.038498779473299E11	1.290374882055577E12
3.6911547149292883E11	1.300441327078241E12
3.3325562304399756E11	1.309227520742964E12
2.9799315615213074E11	1.3174131831508337E12
2.6162169644194537E11	1.324461348078388E12
2.260101765218553E11	1.3308648908785303E12
1.8936965574932446E11	1.3359432823533835E12
1.5340973363094775E11	1.3404485459007192E12
1.1646894531632524E11	1.3437579795499448E12
8.037729286642915E10	1.34641750992881E12
4.336072572257071E10	1.3477160681302568E12
7.104650695300936E9	1.3484871533407244E12
-2.9992844947090992E10	1.3480052293184998E12
-6.6156681447039604E10	1.3468793079556082E12
-1.0314769343729918E11	1.344389706751748E12
-1.392805117298506E11	1.3414054805002124E12
-1.7612434741670474E11	1.3371309113346768E12
-2.1195651956135574E11	1.3322434543079072E12
-2.4850257953223386E11	1.3259803039128967E12
-2.841166066086262E11	1.3192978643553018E12
-3.202833586350458E11	1.3112594525779219E12
-3.553937404240832E11	1.3026888457146433E12
-3.9107733972230896E11	1.2927179805378638E12
-4.257919211689001E11	1.2824396394054182E12
-4.6085647718789417E11	1.2707076056647126E12
-4.94878850270475E11	1.258593293941734E12
-5.2929014347028E11	1.2450243255352583E12
-5.627311310111875E11	1.2312808218338464E12
-5.963062993431495E11	1.2160113455062292E12
-6.288635563171973E11	1.2004925225937812E12
-6.61650182607403E11	1.1835192742343518E12
-6.934236688942205E11	1.1664567229152979E12
-7.251664665687272E11	1.1478571609065454E12
-7.559115045941826E11	1.1291293276935667E12
-7.867190412198265E11	1.1089569132210735E12
-8.164919874016741E11	1.0887925722917926E12
-8.46068756300843E11	1.0670923552028221E12
-8.746838453752009E11	1.0453881935358026E12
-9.031943092627566E11	1.022266566190835E12
