Halley's Comet X	Halley's Comet Y
-1.5633613072637524E12	3.193297106353446E12
-1.552316640470731E12	3.1812183915324766E12
-1.541217689188849E12	3.169028437656226E12
-1.5300641021471992E12	3.156726151011914E12
-1.5188555217731643E12	3.1443104141272827E12
-1.50759158406987E12	3.131780085075206E12
-1.4962719184873152E12	3.119133996760102E12
-1.484896147780038E12	3.10637095617792E12
-1.473463887858015E12	3.0934897436457935E12
-1.4619747476284802E12	3.0804891120099634E12
-1.4504283288191958E12	3.067367785822175E12
-1.4388242257869963E12	3.054124460478507E12
-1.4271620253090083E12	3.04075780131968E12
-1.4154413063579297E12	3.0272664426843022E12
-1.4036616398643271E12	3.0136489869202163E12
-1.3918225884554783E12	2.9999040033448325E12
-1.3799237061782017E12	2.986030027140278E12
-1.36796453821271E12	2.972025558191025E12
-1.355944620571198E12	2.957889059858536E12
-1.3438634797864717E12	2.9436189576870176E12
-1.3317206325885654E12	2.929213638039077E12
-1.319515585573065E12	2.914671446649541E12
-1.307247834871321E12	2.8999906871062036E12
-1.2949168658118218E12	2.8851696192583047E12
-1.2825221525732512E12	2.870206457536734E12
-1.2700631578364983E12	2.8550993691896216E12
-1.2575393324315974E12	2.839846472430464E12
-1.2449501149826177E12	2.8244458344968315E12
-1.232294931542799E12	2.808895469619805E12
-1.2195731952164282E12	2.793193336884066E12
-1.206784305779768E12	2.7773373379811543E12
-1.1939276492915718E12	2.761325314858669E12
-1.1810025976883071E12	2.745155047248884E12
-1.168008508365235E12	2.7288242500713433E12
-1.154944723739193E12	2.7123305706942153E12
-1.141810570802982E12	2.6956715860500903E12
-1.1286053606608848E12	2.678844799608448E12
-1.1153283880353567E12	2.661847638174261E12
-1.1019789307584065E12	2.644677448501821E12
-1.0885562492423909E12	2.627331493720958E12
-1.0750595859291975E12	2.609806949555226E12
-1.0614881647152461E12	2.5921009003271396E12
-1.0478411903392565E12	2.5742103347164497E12
-1.0341178477517493E12	2.556132141249728E12
-1.0203173014629093E12	2.537863103527948E12
-1.0064386948495831E12	2.5193998951526763E12
-9.924811494338574E11	2.5007390743226055E12
-9.784437641267751E11	2.481877078081158E12
-9.643256144416019E11	2.4628102161768086E12
-9.501257516815568E11	2.443534664528945E12
-9.358432020724862E11	2.4240464582522993E12
-9.214769658579324E11	2.4043414841760537E12
-9.070260163672268E11	2.3844154728496704E12
-8.924892990344645E11	2.3642639899821987E12
-8.778657303761079E11	2.343882427258181E12
-8.63154196915747E11	2.323265992479214E12
-8.48353554060154E11	2.30240969894293E12
-8.33462624948219E11	2.2813083540237466E12
-8.184801992369536E11	2.259956546883887E12
-8.03405031824542E11	2.238348635187555E12
-7.882358415326869E11	2.2164787307411934E12
-7.729713097342653E11	2.1943406839524395E12
-7.576100789392281E11	2.171928066992567E12
-7.421507513146737E11	2.149234155535824E12
-7.265918871387281E11	2.1262519088739524E12
-7.109320032301803E11	2.1029739482596616E12
-6.951695713292766E11	2.0793925333108103E12
-6.793030164249203E11	2.0554995362166992E12
-6.633307150409482E11	2.0312864134998743E12
-6.472509934871786E11	2.0067441750171877E12
-6.310621261232827E11	1.9818633498923901E12
-6.147623336140706E11	1.956633949041582E12
-5.983497811692765E11	1.9310454237712327E12
-5.81822576852073E11	1.905086619959331E12
-5.651787699652498E11	1.8787457272621792E12
-5.4841634956516254E11	1.8520102226436272E12
-5.315332431438107E11	1.8248668074694792E12
-5.145273155057776E11	1.7973013371447979E12
-4.9739636803279236E11	1.7692987421984111E12
-4.8013813841278656E11	1.7408429396422776E12
-4.627503009098567E11	1.7119167329612258E12
-4.4523046743327594E11	1.6825016988888164E12
-4.2757618961015405E11	1.6525780588020874E12
-4.097849622211835E11	1.6221245320267266E12
-3.91854228413858E11	1.5911181680145369E12
-3.737813870568833E11	1.559534153362561E12
-3.555638030716624E11	1.5273455887562903E12
-3.3719882168971436E11	1.4945232301889058E12
-3.186837876730952E11	1.4610351870355032E12
-3.0001607117499115E11	1.4268465678005415E12
-2.8119310224788794E11	1.3919190619744082E12
-2.622124169533242E11	1.3562104430590984E12
-2.4307171912765356E11	1.3196739741494023E12
-2.237689628158149E11	1.2822576914598284E12
-2.04302462945593E11	1.2439035330438772E12
-1.846710449187822E11	1.2045462700164878E12
-1.6487424787495645E11	1.164112182348897E12
-1.4491260315638144E11	1.1225174000934373E12
-1.2478801877232301E11	1.0796657999249675E12
-1.0450431574773085E11	1.0354463001875076E12
-8.406798440828746E10	9.89729329958991E11
-6.348925943944352E10	9.423621405770215E11
-4.2783656201210754E10	8.931624611851423E11
-2.197415699033489E10	8.419097475787234E11
-1.094244597251359E9	7.883329626112559E11
1.9807951436644444E10	7.320940438580929E11
4.0659975302894196E10	6.727696670781353E11
6.132261649379859E10	6.098212910362689E11
8.15372445235931E10	5.424821871559012E11
1.008945738431206E11	4.696253110243461E11
1.1865806076396135E11	3.89565165584823E11
1.3329289648990602E11	2.995684138234993E11
1.4096169930538736E11	1.9469690933620392E11
1.2853815163039238E11	6.526374417535969E10
3.5490114290107635E10	-8.036862514243895E10
-1.2238796368634569E11	-1.1018499369445795E11
-2.390652394883708E11	-8.383721557357777E10
-3.308529154585021E11	-4.745792445810028E10
-4.083701571555053E11	-8.809131821153759E9
-4.765139264664455E11	3.0104521850612793E10
-5.379258881451301E11	6.861713267060825E10
-5.942065929307936E11	1.0648782142156029E11
-6.464080261796827E11	1.4363639880393787E11
-6.952637781080713E11	1.8004965002120825E11
-7.413087578735852E11	2.1574334223890552E11
-7.84946784940534E11	2.507452112442179E11
-8.26491390195217E11	2.850867164140641E11
-8.661919225219028E11	3.1879904408740063E11
