Deimos X	Deimos Y
-2.1615324751342044E11	-1.053868477283493E11
-1.6192963681318787E11	-1.6810087403592862E11
-8.610139699466951E10	-2.081815970398818E11
2.197898211892471E9	-2.1718793834551987E11
8.987135184394525E10	-1.9046061034643753E11
1.6110821050337375E11	-1.294560112173117E11
2.0172343199473126E11	-4.405523428081277E10
2.039156393820945E11	4.990657916982685E10
1.6900998412826544E11	1.3494910794676819E11
1.056915429637462E11	1.9779014324195508E11
2.616606621934851E10	2.3092684761903156E11
-5.713172890150001E10	2.328597832543042E11
-1.3358885484917502E11	2.0580603918351154E11
-1.9465509525124316E11	1.5493822590124454E11
-2.3416252925124286E11	8.670243237324187E10
-2.4782539046979913E11	8.960141573379797E9
-2.3368608627755347E11	-6.978079947310965E10
-1.918521294917573E11	-1.401154738145828E11
-1.2571128930155453E11	-1.9242220028295438E11
-4.2032675512848656E10	-2.174554644901048E11
4.78009110700388E10	-2.0840362171917114E11
1.2908693429648648E11	-1.634138005149746E11
1.8605966511972552E11	-8.817832505965585E10
2.0741701199245514E11	3.8063557970866337E9
1.8983040721719315E11	9.519979872268869E10
1.3897790825136084E11	1.700985901436819E11
6.574808201852849E10	2.182072427433114E11
-1.712217893636998E10	2.3515435412693094E11
-9.8072236073705E10	2.2172728030948853E11
-1.6747322611912958E11	1.8163234236170752E11
-2.1807845804499472E11	1.209656103311472E11
-2.4465491154733667E11	4.677105347183477E10
-2.4410610419681235E11	-3.258157828349357E10
-2.1551311002575888E11	-1.0826190670246582E11
-1.6051161638459277E11	-1.705073292443952E11
-8.420550388397044E10	-2.0991531040325598E11
4.36276762635928E9	-2.180230746704664E11
9.18246273791878E10	-1.9035087363911008E11
1.6251520211004028E11	-1.285769917826846E11
2.0217819878091345E11	-4.271369530771493E10
2.0344142470612213E11	5.119526528871451E10
1.6764807722973453E11	1.3580825864252684E11
1.0382147098454994E11	1.9789333835262634E11
2.408160531343338E10	2.30220117969406E11
-5.906904642330587E10	2.3127349400620013E11
-1.3515050035902953E11	2.035690429953976E11
-1.9559795610523978E11	1.5209653049104904E11
-2.3438747476129382E11	8.356960516877892E10
-2.4723128165112228E11	5.670379859524278E9
-2.3224055503506314E11	-7.289440707522948E10
-1.8963832917314902E11	-1.428934764448012E11
-1.2281308929755379E11	-1.9448207197883008E11
-3.874426682411004E10	-2.1868991507986548E11
5.115745299506244E10	-2.0856933406587503E11
1.3202388491148477E11	-1.6263146737482623E11
1.8824930056880963E11	-8.666387998180423E10
2.0855294274480157E11	5.5615767371446295E9
1.9006840306965384E11	9.678025789038493E10
1.384489819528472E11	1.710920386439648E11
6.487493381979131E10	2.1846969846704065E11
-1.809227953094213E10	2.3463466777421243E11
-9.877204826849504E10	2.2047729708370337E11
-1.677788408328394E11	1.798331699307521E11
-2.1771119385622998E11	1.187580199339964E11
-2.436152996953197E11	4.441126839106123E10
-2.4226048555822632E11	-3.489381217595646E10
