Uranus X	Uranus Y
-9.483096195744377E11	2.634873627421007E12
-9.715223886124045E11	2.625316729396102E12
-9.94658911470075E11	2.6155536874244346E12
-1.0177172900045576E12	2.605585043150792E12
-1.0406956290071047E12	2.5954113575640605E12
-1.0635920363380442E12	2.58503321108114E12
-1.0864046230357648E12	2.574451203598326E12
-1.1091315034289763E12	2.5636659545001196E12
-1.1317707952573147E12	2.5526781026594365E12
-1.1543206197877742E12	2.541488306414584E12
-1.1767791019403848E12	2.5300972435260684E12
-1.1991443704150938E12	2.5185056111176196E12
-1.2214145578300886E12	2.5067141255869033E12
-1.2435878008872239E12	2.494723522521544E12
-1.2656622405385608E12	2.4825345566191562E12
-1.2876360221582E12	2.470148001588025E12
-1.3095072957332793E12	2.457564650049393E12
-1.3312742160635183E12	2.4447853134412207E12
-1.3529349429775342E12	2.431810821930047E12
-1.3744876415501243E12	2.418642024337505E12
-1.3959304823163381E12	2.4052797880541855E12
-1.4172616415051653E12	2.391724998958824E12
-1.4384793012779285E12	2.377978561357455E12
-1.4595816499641357E12	2.3640413979236865E12
-1.4805668822981252E12	2.3499144496454478E12
-1.5014331996509133E12	2.335598675765682E12
-1.5221788102747869E12	2.3210950537242524E12
-1.5428019295516682E12	2.3064045791223E12
-1.563300780224812E12	2.2915282656788643E12
-1.583673592636308E12	2.276467145179868E12
-1.6039186049664565E12	2.26122226743428E12
-1.624034063473543E12	2.2457947002272593E12
-1.6440182227379646E12	2.230185529285142E12
-1.6638693458880674E12	2.214395858234473E12
-1.6835857048296633E12	2.1984268085409656E12
-1.703165580489875E12	2.182279519463895E12
-1.7226072630487583E12	2.165955148012221E12
-1.7419090521691492E12	2.1494548688899692E12
-1.7610692572254321E12	2.1327798744433406E12
-1.7800861975276582E12	2.1159313745932695E12
-1.7989582025621575E12	2.0989105967753896E12
-1.8176836122200906E12	2.0817187858900786E12
-1.8362607770119773E12	2.0643572042283962E12
-1.8546880582970322E12	2.0468271313956626E12
-1.8729638285100261E12	2.0291298642404812E12
-1.8910864713881138E12	2.011266716777553E12
-1.9090543821957397E12	1.993239020115692E12
-1.9268659679353376E12	1.9750481223695652E12
-1.9445196475719526E12	1.9566953885627244E12
-1.9620138522635706E12	1.9381822005472126E12
-1.9793470255742727E12	1.9195099569133728E12
-1.996517623689131E12	1.9006800728900017E12
-2.0135241156274368E12	1.8816939802410574E12
-2.0303649834603577E12	1.8625531271557131E12
-2.0470387225350007E12	1.8432589781496943E12
-2.0635438416784363E12	1.8238130139592976E12
-2.0798788634032083E12	1.80421673141713E12
-2.0960423241231985E12	1.784471643334806E12
-2.1120327743629631E12	1.7645792783843474E12
-2.127848778966647E12	1.7445411809776753E12
-2.1434889172947952E12	1.724358911141849E12
-2.1589517834197683E12	1.7040340443754949E12
-2.1742359863386465E12	1.6835681715153652E12
-2.1893401501720078E12	1.6629628986080347E12
-2.204262914352604E12	1.6422198467650364E12
-2.2190029338193174E12	1.6213406520171968E12
-2.2335588792045703E12	1.6003269651624602E12
-2.24792943703221E12	1.5791804516139607E12
-2.262113309904778E12	1.5579027912573855E12
-2.276109216670712E12	1.5364956782862751E12
-2.289915892608931E12	1.5149608210314404E12
-2.3035320896124175E12	1.4932999418024836E12
-2.316956576360225E12	1.471514776719747E12
-2.330188138489769E12	1.449607075546473E12
-2.343225578754289E12	1.4275786015121008E12
-2.356067717188439E12	1.4054311311240679E12
-2.36871339128278E12	1.3831664539956729E12
-2.3811614561307114E12	1.3607863726668594E12
-2.393410784576181E12	1.3382927024080803E12
-2.405460267366615E12	1.3156872710285845E12
-2.4173088132998755E12	1.2929719186801292E12
-2.428955349375718E12	1.2701484976642302E12
-2.4403988209274287E12	1.2472188722384934E12
-2.4516381917474966E12	1.224184918402851E12
-2.462672444230157E12	1.201048523691819E12
-2.4735005795017993E12	1.1778115869725283E12
-2.484121617540886E12	1.1544760182326282E12
-2.494534597295534E12	1.1310437383658735E12
-2.5047385767945425E12	1.1075166789472644E12
-2.5147326332730835E12	1.0838967820112576E12
-2.524515863286075E12	1.0601859998394376E12
-2.5340873828024507E12	1.0363862947321785E12
-2.5434463273098E12	1.0124996387749888E12
-2.5525918519160024E12	9.885280136077067E11
-2.5615231314506196E12	9.644734101902522E11
-2.5702393605599834E12	9.403378285736366E11
-2.5787397537834727E12	9.161232776569231E11
-2.5870235456454883E12	8.91831774934706E11
-2.5950899907528984E12	8.674653462590219E11
-2.6029383638722617E12	8.430260255941189E11
-2.610567960009868E12	8.185158547642297E11
-2.6179780944855947E12	7.939368831988234E11
-2.6251681030116807E12	7.692911676671846E11
-2.6321373417840576E12	7.445807720234221E11
-2.6388851875484404E12	7.198077669493945E11
-2.645411037668555E12	6.949742296765905E11
-2.6517143102134897E12	6.7008224371346E11
-2.6577944440378774E12	6.451338985730918E11
-2.6636508988677095E12	6.201312894960231E11
-2.669283155380697E12	5.95076517175373E11
-2.674690715283536E12	5.699716874646963E11
-2.679873101419072E12	5.44818911087591E11
-2.684829857869901E12	5.1962030336006836E11
-2.689560550052933E12	4.9437798390147534E11
-2.6940647648323013E12	4.6909407634347784E11
-2.6983421106367207E12	4.4377070804239685E11
