Callisto X	Callisto Y
2.1659714134787097E11	7.240267868371766E11
1.7436017028131573E11	7.387245692761552E11
1.2394118861071349E11	7.498962219445723E11
8.05514479334016E10	7.585543955508451E11
2.932971361763629E10	7.640860595531681E11
-1.448114275858326E10	7.666679406411404E11
-6.575727837843062E10	7.665714604230079E11
-1.092753846928184E11	7.631367635315555E11
-1.598802282106575E11	7.575144954021326E11
-2.0242065862830374E11	7.482103467146731E11
-2.5166299171216403E11	7.372501257376687E11
-2.9257962579289026E11	7.223043199729863E11
-3.398120113941308E11	7.062657297149264E11
-3.7850491830580914E11	6.859781074515347E11
-4.231284733377714E11	6.651872714174795E11
-4.5904983691498724E11	6.399190046176923E11
-5.005204187386743E11	6.147603367468333E11
-5.3317844367182043E11	5.849269938727834E11
-5.710110520234764E11	5.558298943362562E11
-5.999728227919596E11	5.218920178671377E11
-6.337415508122091E11	4.893271094016898E11
-6.586349677299895E11	4.517813872977219E11
-6.879758328421316E11	4.162519929966493E11
-7.08489752420509E11	3.756254578485411E11
-7.3310167939787E11	3.376570293725893E11
-7.489861468878445E11	2.944988685196894E11
-7.686283021777001E11	2.546369870080534E11
-7.796946195654996E11	2.0951231854503403E11
-7.941883059722784E11	1.6831499286190646E11
-8.003072458027753E11	1.2180039123766054E11
-8.095345077823113E11	7.98304711586558E10
-8.106357575008276E11	3.2507401499832005E10
-8.145361406662515E11	-9.668098731257336E9
-8.106076791489808E11	-5.721766829878182E10
-8.091806800581678E11	-9.903508722296935E10
-8.002663757718682E11	-1.4623222622194635E11
-7.935681091809138E11	-1.871357067171967E11
-7.797675818128108E11	-2.334100764775995E11
-7.679085264562948E11	-2.7285294681376617E11
-7.493758191048372E11	-3.1764619915374963E11
-7.325235031422152E11	-3.550978030356681E11
-7.094653651240289E11	-3.9786737126544855E11
-6.878401182552476E11	-4.328162736815802E11
-6.605157292349938E11	-4.730401732635185E11
-6.343894560474729E11	-5.0499674542073785E11
-6.031089431492949E11	-5.4217732338650775E11
-5.728073815374714E11	-5.706801999200171E11
-5.379302607819774E11	-6.043487252698392E11
-5.0382815504851605E11	-6.289684234988237E11
-4.6576274325079565E11	-6.586897662044631E11
-4.282828637992598E11	-6.790322576945973E11
-3.874838605764195E11	-7.044097750148218E11
-3.4709825862283276E11	-7.201237811153688E11
-3.0406445927233325E11	-7.408050176273611E11
-2.612874815569992E11	-7.515861170198568E11
-2.1656029259882684E11	-7.672679746369657E11
-1.719482869699803E11	-7.728636985224685E11
-1.2610665694368584E11	-7.832985239807444E11
-8.025503536846408E10	-7.83516147863074E11
-3.3911812188068172E10	-7.885182888292458E11
1.255359776020235E10	-7.8322971370045E11
5.8756456486082306E10	-7.826809927412814E11
1.0518182906631836E11	-7.7182836582147E11
1.5058121499580878E11	-7.656845203007421E11
1.962928215830856E11	-7.492874560989897E11
2.4021196224753424E11	-7.375840845197025E11
2.845273401424124E11	-7.157441675482122E11
3.262847251975367E11	-6.986009158721155E11
3.6851981710193854E11	-6.715054009481287E11
4.0744097508530035E11	-6.491304220832927E11
4.4692271114554865E11	-6.170566335181589E11
4.8235267012259515E11	-5.897490360914441E11
5.184341166587933E11	-5.530652740361823E11
5.497496920830481E11	-5.212148386485197E11
5.818205327829198E11	-4.803786851302367E11
6.084459608832712E11	-4.444649855037403E11
6.359491511667273E11	-4.000216741437804E11
6.573704252075095E11	-3.606087154140104E11
6.798180612458344E11	-3.131841132481278E11
6.955969593368511E11	-2.709129494306952E11
7.125809910441448E11	-2.212038895642962E11
7.223693532598932E11	-1.7678289800905338E11
7.335776398838954E11	-1.2554687186125426E11
7.371289206512946E11	-7.973699276667871E10
7.423554322171359E11	-2.7775565540629555E10
7.395342286479731E11	1.862498156055767E10
7.386852903123496E11	7.048309606410158E10
7.29473809742209E11	1.1665641829716473E11
7.225750712992528E11	1.6757304370539648E11
7.07076093120927E11	2.1270230126547342E11
6.942728184089725E11	2.6185128428121548E11
6.727082034626738E11	3.0513999530392444E11
6.542610394292794E11	3.517265496396416E11
6.269669884768124E11	3.924170238678921E11
